ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wp_page_template,Meta: anarkali_loop_product_slider_speed,Meta: anarkali_showcase_type,Meta: anarkali_showcase_bg_type,Meta: anarkali_showcase_custom_bgcolor,Meta: anarkali_showcase_custom_textcolor,Meta: anarkali_badge_color,Meta: anarkali_product_extra_fatures,Meta: anarkali_custom_badge,Meta: anarkali_product_size_guide,Meta: anarkali_countdown_date,Meta: anarkali_countdown_text,Meta: anarkali_product_video_type,Meta: anarkali_product_video_source_type,Meta: anarkali_product_popup_video,Meta: anarkali_product_iframe_video,Meta: anarkali_product_video_preview,Meta: anarkali_product_video_on_shop,Meta: anarkali_tabs_title,Meta: anarkali_tabs_content,Meta: anarkali_product_header_type,Meta: anarkali_product_header_bgcolor,Meta: anarkali_product_header_menuitem_color,Meta: anarkali_product_header_menuitem_hvrcolor,Meta: anarkali_product_header_svgicon_color,Meta: anarkali_product_header_counter_bgcolor,Meta: anarkali_product_header_counter_color,Meta: anarkali_product_sticky_header_bgcolor,Meta: anarkali_product_sticky_header_menuitem_color,Meta: anarkali_product_sticky_header_menuitem_hvrcolor,Meta: anarkali_product_sticky_header_svgicon_color,Meta: anarkali_product_sticky_header_counter_bgcolor,Meta: anarkali_product_sticky_header_counter_color,Meta: _product_360_image_gallery
,variable,HC-33-Blue,,Women's Cotton Hand Block Printed Anarkali Kurti,1,0,visible,"Elegant Two Piece Kurti with Pant Set, crafted for comfort and style. Perfect for office wear, festive occasions, or casual outings, this timeless outfit ensures a graceful and fashionable look all day.","Two Piece Kurti with Pant Set, designed to offer a perfect balance of comfort and style. The trendy kurti paired with matching pants gives you a graceful look that’s ideal for daily wear, office wear, festive events, or casual outings. With its smart fit and timeless design, this outfit ensures you stay fashionable and comfortable throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img924/7428/xW3hGO.jpg, https://imagizer.imageshack.com/img924/1306/K3sATy.jpg, https://imagizer.imageshack.com/img924/7499/VgSRXT.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-33-Yellow,,Women's Cotton Hand Block Printed Anarkali Kurti,1,0,visible,"Elegant Two Piece Kurti with Pant Set, crafted for comfort and style. Perfect for office wear, festive occasions, or casual outings, this timeless outfit ensures a graceful and fashionable look all day.","Two Piece Kurti with Pant Set, designed to offer a perfect balance of comfort and style. The trendy kurti paired with matching pants gives you a graceful look that’s ideal for daily wear, office wear, festive events, or casual outings. With its smart fit and timeless design, this outfit ensures you stay fashionable and comfortable throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img923/4325/TCogeB.jpg, https://imagizer.imageshack.com/img923/1397/OiC4Vb.jpg, https://imagizer.imageshack.com/img923/8466/E4yJ5A.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-38,,Women's Cotton a-line flared Straight Kurti With Pant,1,0,visible,"Elegant Two Piece Kurti with Pant Set, crafted for comfort and style. Perfect for office wear, festive occasions, or casual outings, this timeless outfit ensures a graceful and fashionable look all day.","Two Piece Kurti with Pant Set, designed to offer a perfect balance of comfort and style. The trendy kurti paired with matching pants gives you a graceful look that’s ideal for daily wear, office wear, festive events, or casual outings. With its smart fit and timeless design, this outfit ensures you stay fashionable and comfortable throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img924/8332/CrBW3S.jpg, https://imagizer.imageshack.com/img923/631/OVXtfM.jpg, https://imagizer.imageshack.com/img922/7481/bEra0V.jpg, https://imagizer.imageshack.com/img923/6950/NXLTby.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-41,,Women's Cotton Embroidered A-Line Kurti With Pant,1,0,visible,"Elegant Two Piece Kurti with Pant Set, crafted for comfort and style. Perfect for office wear, festive occasions, or casual outings, this timeless outfit ensures a graceful and fashionable look all day.","Two Piece Kurti with Pant Set, designed to offer a perfect balance of comfort and style. The trendy kurti paired with matching pants gives you a graceful look that’s ideal for daily wear, office wear, festive events, or casual outings. With its smart fit and timeless design, this outfit ensures you stay fashionable and comfortable throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,https://imagizer.imageshack.com/img924/79/VQ5ZRJ.jpg,,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-42,,Women's Cotton Printed A-Line Kurti With Pant,1,0,visible,"Elegant Two Piece Kurti with Pant Set, crafted for comfort and style. Perfect for office wear, festive occasions, or casual outings, this timeless outfit ensures a graceful and fashionable look all day.","Two Piece Kurti with Pant Set, designed to offer a perfect balance of comfort and style. The trendy kurti paired with matching pants gives you a graceful look that’s ideal for daily wear, office wear, festive events, or casual outings. With its smart fit and timeless design, this outfit ensures you stay fashionable and comfortable throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img923/6448/t6HsUZ.jpg, https://imagizer.imageshack.com/img922/7831/yxSSUG.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-43,,Women's Cotton Plain Flared Sleeveless Kurta With Palazzo,1,0,visible,"Elegant Two Piece Kurti with Pant Set, crafted for comfort and style. Perfect for office wear, festive occasions, or casual outings, this timeless outfit ensures a graceful and fashionable look all day.","Two Piece Kurti with Pant Set, designed to offer a perfect balance of comfort and style. The trendy kurti paired with matching pants gives you a graceful look that’s ideal for daily wear, office wear, festive events, or casual outings. With its smart fit and timeless design, this outfit ensures you stay fashionable and comfortable throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img922/4382/urTJQK.jpg, https://imagizer.imageshack.com/img924/7092/dFJPah.jpg, https://imagizer.imageshack.com/img923/4287/wBdSRB.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-44-Purple,,Women's Cotton V-neck Solid Straight Kurti With Pant,1,0,visible,"Elegant Two Piece Kurti with Pant Set, crafted for comfort and style. Perfect for office wear, festive occasions, or casual outings, this timeless outfit ensures a graceful and fashionable look all day.","Two Piece Kurti with Pant Set, designed to offer a perfect balance of comfort and style. The trendy kurti paired with matching pants gives you a graceful look that’s ideal for daily wear, office wear, festive events, or casual outings. With its smart fit and timeless design, this outfit ensures you stay fashionable and comfortable throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,https://imagizer.imageshack.com/img923/9767/ephpqZ.jpg,,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-44-Yellow,,Women's Cotton V-neck Solid Straight Kurti With Pant,1,0,visible,"Elegant Two Piece Kurti with Pant Set, crafted for comfort and style. Perfect for office wear, festive occasions, or casual outings, this timeless outfit ensures a graceful and fashionable look all day.","Two Piece Kurti with Pant Set, designed to offer a perfect balance of comfort and style. The trendy kurti paired with matching pants gives you a graceful look that’s ideal for daily wear, office wear, festive events, or casual outings. With its smart fit and timeless design, this outfit ensures you stay fashionable and comfortable throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,https://imagizer.imageshack.com/img922/5306/efMhQv.jpg,,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC35-K1,,Women's Cotton Embroidery A-line Kurti With Palazzo Set,1,0,visible,"Elegant Two Piece Kurti with Pant Set, crafted for comfort and style. Perfect for office wear, festive occasions, or casual outings, this timeless outfit ensures a graceful and fashionable look all day.","Two Piece Kurti with Pant Set, designed to offer a perfect balance of comfort and style. The trendy kurti paired with matching pants gives you a graceful look that’s ideal for daily wear, office wear, festive events, or casual outings. With its smart fit and timeless design, this outfit ensures you stay fashionable and comfortable throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img924/4380/RtaP2X.jpg, https://imagizer.imageshack.com/img924/7941/Sm07G9.jpg, https://imagizer.imageshack.com/img923/9316/ZF3mXI.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC35-K2,,Women's Cotton Floral Embroidery Anarkali Kurti (Gown),1,0,visible,"Elegant Two Piece Kurti with Pant Set, crafted for comfort and style. Perfect for office wear, festive occasions, or casual outings, this timeless outfit ensures a graceful and fashionable look all day.","Two Piece Kurti with Pant Set, designed to offer a perfect balance of comfort and style. The trendy kurti paired with matching pants gives you a graceful look that’s ideal for daily wear, office wear, festive events, or casual outings. With its smart fit and timeless design, this outfit ensures you stay fashionable and comfortable throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img924/4329/WIvkml.jpg, https://imagizer.imageshack.com/img924/4640/5IYg9s.jpg, https://imagizer.imageshack.com/img922/4615/dc5gMG.jpg, https://imagizer.imageshack.com/img924/930/yzITko.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
