ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wp_page_template,Meta: anarkali_loop_product_slider_speed,Meta: anarkali_showcase_type,Meta: anarkali_showcase_bg_type,Meta: anarkali_showcase_custom_bgcolor,Meta: anarkali_showcase_custom_textcolor,Meta: anarkali_badge_color,Meta: anarkali_product_extra_fatures,Meta: anarkali_custom_badge,Meta: anarkali_product_size_guide,Meta: anarkali_countdown_date,Meta: anarkali_countdown_text,Meta: anarkali_product_video_type,Meta: anarkali_product_video_source_type,Meta: anarkali_product_popup_video,Meta: anarkali_product_iframe_video,Meta: anarkali_product_video_preview,Meta: anarkali_product_video_on_shop,Meta: anarkali_tabs_title,Meta: anarkali_tabs_content,Meta: anarkali_product_header_type,Meta: anarkali_product_header_bgcolor,Meta: anarkali_product_header_menuitem_color,Meta: anarkali_product_header_menuitem_hvrcolor,Meta: anarkali_product_header_svgicon_color,Meta: anarkali_product_header_counter_bgcolor,Meta: anarkali_product_header_counter_color,Meta: anarkali_product_sticky_header_bgcolor,Meta: anarkali_product_sticky_header_menuitem_color,Meta: anarkali_product_sticky_header_menuitem_hvrcolor,Meta: anarkali_product_sticky_header_svgicon_color,Meta: anarkali_product_sticky_header_counter_bgcolor,Meta: anarkali_product_sticky_header_counter_color,Meta: _product_360_image_gallery
,variable,HC-51-ORANGE,,Women's Cotton Embroidered Anarkali Kurti With Malmal Dupatta Set,1,0,visible,"Graceful 3 Piece Kurti with Pant and Dupatta Set, blending tradition with modern style. Perfect for festive occasions, office wear, or casual outings, this outfit ensures comfort and an effortlessly classy look all day.","3 Piece Kurti with Pant and Dupatta Set. Designed for comfort and style, this outfit offers a perfect combination of tradition and modern fashion. The stylish kurti, paired with matching pants and a graceful dupatta, makes it an ideal choice for festive occasions, office wear, family gatherings, or casual outings. Its smart design and easy-to-wear fit ensure you look effortlessly classy all day long.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img923/109/l6nUzm.jpg, https://imagizer.imageshack.com/img922/8740/De6Uei.jpg, https://imagizer.imageshack.com/img923/241/Ehq0qH.jpg, https://imagizer.imageshack.com/img924/9452/nsFNpz.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-51-BURGUNDY,,Women's Cotton Embroidered Anarkali Kurti With Malmal Dupatta Set,1,0,visible,"Graceful 3 Piece Kurti with Pant and Dupatta Set, blending tradition with modern style. Perfect for festive occasions, office wear, or casual outings, this outfit ensures comfort and an effortlessly classy look all day.","3 Piece Kurti with Pant and Dupatta Set. Designed for comfort and style, this outfit offers a perfect combination of tradition and modern fashion. The stylish kurti, paired with matching pants and a graceful dupatta, makes it an ideal choice for festive occasions, office wear, family gatherings, or casual outings. Its smart design and easy-to-wear fit ensure you look effortlessly classy all day long.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img923/1211/YMUsDX.jpg, https://imagizer.imageshack.com/img923/9973/Ra16gB.jpg, https://imagizer.imageshack.com/img923/4836/SQpafq.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-52,,Women's Cotton Embroidered Anarkali Kurti With Pant Set,1,0,visible,"Graceful 3 Piece Kurti with Pant and Dupatta Set, blending tradition with modern style. Perfect for festive occasions, office wear, or casual outings, this outfit ensures comfort and an effortlessly classy look all day.","3 Piece Kurti with Pant and Dupatta Set. Designed for comfort and style, this outfit offers a perfect combination of tradition and modern fashion. The stylish kurti, paired with matching pants and a graceful dupatta, makes it an ideal choice for festive occasions, office wear, family gatherings, or casual outings. Its smart design and easy-to-wear fit ensure you look effortlessly classy all day long.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img924/2780/0pTTZN.jpg, https://imagizer.imageshack.com/img922/568/Cbg4lV.jpg, https://imagizer.imageshack.com/img924/7007/YMlopG.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-53,,Women's Contton Floral Embroidered Round Neck Regular Kurti Pant Dupatta Set,1,0,visible,"Graceful 3 Piece Kurti with Pant and Dupatta Set, blending tradition with modern style. Perfect for festive occasions, office wear, or casual outings, this outfit ensures comfort and an effortlessly classy look all day.","3 Piece Kurti with Pant and Dupatta Set. Designed for comfort and style, this outfit offers a perfect combination of tradition and modern fashion. The stylish kurti, paired with matching pants and a graceful dupatta, makes it an ideal choice for festive occasions, office wear, family gatherings, or casual outings. Its smart design and easy-to-wear fit ensure you look effortlessly classy all day long.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img923/5360/1SlTRb.jpg, https://imagizer.imageshack.com/img922/4223/gwmZDT.jpg, https://imagizer.imageshack.com/img923/3629/pmjPAT.jpg, https://imagizer.imageshack.com/img924/7639/2YccX5.jpg, https://imagizer.imageshack.com/img923/8290/7xhscz.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-54,,Women's Cotton Embroidery Handblock Floral Kurti Pant With Dupatta Set,1,0,visible,"Graceful 3 Piece Kurti with Pant and Dupatta Set, blending tradition with modern style. Perfect for festive occasions, office wear, or casual outings, this outfit ensures comfort and an effortlessly classy look all day.","3 Piece Kurti with Pant and Dupatta Set. Designed for comfort and style, this outfit offers a perfect combination of tradition and modern fashion. The stylish kurti, paired with matching pants and a graceful dupatta, makes it an ideal choice for festive occasions, office wear, family gatherings, or casual outings. Its smart design and easy-to-wear fit ensure you look effortlessly classy all day long.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img923/8170/728zoq.jpg, https://imagizer.imageshack.com/img924/5081/dZqYKV.jpg, https://imagizer.imageshack.com/img922/2051/T559Ha.jpg, https://imagizer.imageshack.com/img923/1897/NcMNXY.jpg, https://imagizer.imageshack.com/img922/6314/oVNNVe.jpg, https://imagizer.imageshack.com/img923/9147/eVO1SQ.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-55-GREY,,Women's Cotton Embroidery Straight Kurti Pant With Dupatta Set,1,0,visible,"Graceful 3 Piece Kurti with Pant and Dupatta Set, blending tradition with modern style. Perfect for festive occasions, office wear, or casual outings, this outfit ensures comfort and an effortlessly classy look all day.","3 Piece Kurti with Pant and Dupatta Set. Designed for comfort and style, this outfit offers a perfect combination of tradition and modern fashion. The stylish kurti, paired with matching pants and a graceful dupatta, makes it an ideal choice for festive occasions, office wear, family gatherings, or casual outings. Its smart design and easy-to-wear fit ensure you look effortlessly classy all day long.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img923/5786/ENZcDJ.jpg, https://imagizer.imageshack.com/img923/6744/vkGul1.jpg, https://imagizer.imageshack.com/img924/606/rMtWea.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-55-ORANGE,,Women's Cotton Embroidery Straight Kurti Pant With Dupatta Set,1,0,visible,"Graceful 3 Piece Kurti with Pant and Dupatta Set, blending tradition with modern style. Perfect for festive occasions, office wear, or casual outings, this outfit ensures comfort and an effortlessly classy look all day.","3 Piece Kurti with Pant and Dupatta Set. Designed for comfort and style, this outfit offers a perfect combination of tradition and modern fashion. The stylish kurti, paired with matching pants and a graceful dupatta, makes it an ideal choice for festive occasions, office wear, family gatherings, or casual outings. Its smart design and easy-to-wear fit ensure you look effortlessly classy all day long.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img924/8113/5tZG61.jpg, https://imagizer.imageshack.com/img922/9971/5I16Bo.jpg, https://imagizer.imageshack.com/img922/5166/eBrEue.jpg, https://imagizer.imageshack.com/img923/1115/fGeYcM.jpg, https://imagizer.imageshack.com/img923/5518/8XftAA.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-56-ORANGE,,Women's Cotton Floral Printed Anarkali Kurti With Pant and Mulmul Dupatta Set,1,0,visible,"Graceful 3 Piece Kurti with Pant and Dupatta Set, blending tradition with modern style. Perfect for festive occasions, office wear, or casual outings, this outfit ensures comfort and an effortlessly classy look all day.","3 Piece Kurti with Pant and Dupatta Set. Designed for comfort and style, this outfit offers a perfect combination of tradition and modern fashion. The stylish kurti, paired with matching pants and a graceful dupatta, makes it an ideal choice for festive occasions, office wear, family gatherings, or casual outings. Its smart design and easy-to-wear fit ensure you look effortlessly classy all day long.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img922/9229/GGUlnj.jpg, https://imagizer.imageshack.com/img922/9562/8wAy4t.jpg, https://imagizer.imageshack.com/img923/2338/cT9Ph4.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-56-GREEN,,Women's Cotton Floral Printed Anarkali Kurti With Pant and Mulmul Dupatta Set,1,0,visible,"Graceful 3 Piece Kurti with Pant and Dupatta Set, blending tradition with modern style. Perfect for festive occasions, office wear, or casual outings, this outfit ensures comfort and an effortlessly classy look all day.","3 Piece Kurti with Pant and Dupatta Set. Designed for comfort and style, this outfit offers a perfect combination of tradition and modern fashion. The stylish kurti, paired with matching pants and a graceful dupatta, makes it an ideal choice for festive occasions, office wear, family gatherings, or casual outings. Its smart design and easy-to-wear fit ensure you look effortlessly classy all day long.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img924/9057/IfKU7j.jpg, https://imagizer.imageshack.com/img922/3176/QXyPkB.jpg, https://imagizer.imageshack.com/img922/8039/ayqJsh.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-57,,Women's Cotton Printed Anarkali Kurti With Pant and Mulmul Dupatta Set,1,0,visible,"Graceful 3 Piece Kurti with Pant and Dupatta Set, blending tradition with modern style. Perfect for festive occasions, office wear, or casual outings, this outfit ensures comfort and an effortlessly classy look all day.","3 Piece Kurti with Pant and Dupatta Set. Designed for comfort and style, this outfit offers a perfect combination of tradition and modern fashion. The stylish kurti, paired with matching pants and a graceful dupatta, makes it an ideal choice for festive occasions, office wear, family gatherings, or casual outings. Its smart design and easy-to-wear fit ensure you look effortlessly classy all day long.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img923/111/Ldj3SR.jpg, https://imagizer.imageshack.com/img923/3873/2SCsdc.jpg, https://imagizer.imageshack.com/img924/7316/7CNHEp.jpg, https://imagizer.imageshack.com/img924/7429/7G153w.jpg, https://imagizer.imageshack.com/img923/9002/UImiqg.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
