ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wp_page_template,Meta: anarkali_loop_product_slider_speed,Meta: anarkali_showcase_type,Meta: anarkali_showcase_bg_type,Meta: anarkali_showcase_custom_bgcolor,Meta: anarkali_showcase_custom_textcolor,Meta: anarkali_badge_color,Meta: anarkali_product_extra_fatures,Meta: anarkali_custom_badge,Meta: anarkali_product_size_guide,Meta: anarkali_countdown_date,Meta: anarkali_countdown_text,Meta: anarkali_product_video_type,Meta: anarkali_product_video_source_type,Meta: anarkali_product_popup_video,Meta: anarkali_product_iframe_video,Meta: anarkali_product_video_preview,Meta: anarkali_product_video_on_shop,Meta: anarkali_tabs_title,Meta: anarkali_tabs_content,Meta: anarkali_product_header_type,Meta: anarkali_product_header_bgcolor,Meta: anarkali_product_header_menuitem_color,Meta: anarkali_product_header_menuitem_hvrcolor,Meta: anarkali_product_header_svgicon_color,Meta: anarkali_product_header_counter_bgcolor,Meta: anarkali_product_header_counter_color,Meta: anarkali_product_sticky_header_bgcolor,Meta: anarkali_product_sticky_header_menuitem_color,Meta: anarkali_product_sticky_header_menuitem_hvrcolor,Meta: anarkali_product_sticky_header_svgicon_color,Meta: anarkali_product_sticky_header_counter_bgcolor,Meta: anarkali_product_sticky_header_counter_color,Meta: _product_360_image_gallery
,variable,AW01,,Women's Junglee Black Velvet Party Midi Dress with Asymmetrical Hemline Midi Dresses,1,0,visible,"Effortlessly stylish dress with a vibrant abstract print, tie-up shoulder straps, and a chic high-low handkerchief hemline — perfect for casual days or evening gatherings.","Level up your style with this trend-setting dress. Its vibrant abstract print and distinctive high-low handkerchief hemline create an eye-catching look. The tie-up shoulder straps ensure a comfortable and adjustable fit. Whether for daytime casual events or evening gatherings, this dress is the perfect choice for effortless flair.",,,taxable,,1,,,0,0,,,,,1,,,,Midi Dresses,"Women’s festive wear collection, Wedding wear for women, Party dresses for ladies, Trendy dresses for women, Branded women’s clothing",,"https://imagizer.imageshack.com/img922/4669/MKKcoV.jpg, https://imagizer.imageshack.com/img924/4980/kDFNaD.jpg, https://imagizer.imageshack.com/img922/9774/7M1xre.jpg, https://imagizer.imageshack.com/img923/2292/z2k31W.jpg, https://imagizer.imageshack.com/img923/8254/mk5Qlq.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,AW02,,Women's Junglee Velvet Maroon Handkerchief Hem Dress,1,0,visible,"Effortlessly stylish dress with a vibrant abstract print, tie-up shoulder straps, and a chic high-low handkerchief hemline — perfect for casual days or evening gatherings.","Level up your style with this trend-setting dress. Its vibrant abstract print and distinctive high-low handkerchief hemline create an eye-catching look. The tie-up shoulder straps ensure a comfortable and adjustable fit. Whether for daytime casual events or evening gatherings, this dress is the perfect choice for effortless flair.",,,taxable,,1,,,0,0,,,,,1,,,,Midi Dresses,"Women’s festive wear collection, Wedding wear for women, Party dresses for ladies, Trendy dresses for women, Branded women’s clothing",,"https://imagizer.imageshack.com/img922/5103/tNURBc.jpg, https://imagizer.imageshack.com/img922/4246/V2iTkV.jpg, https://imagizer.imageshack.com/img922/981/HomYvY.jpg, https://imagizer.imageshack.com/img923/3426/pKjFHU.jpg, https://imagizer.imageshack.com/img924/4886/CsdRLb.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,AW03,,Women's Bottle Green Junglee Pattern Velvet Handkerchief Hem Dress Midi Dresses,1,0,visible,"Effortlessly stylish dress with a vibrant abstract print, tie-up shoulder straps, and a chic high-low handkerchief hemline — perfect for casual days or evening gatherings.","Level up your style with this trend-setting dress. Its vibrant abstract print and distinctive high-low handkerchief hemline create an eye-catching look. The tie-up shoulder straps ensure a comfortable and adjustable fit. Whether for daytime casual events or evening gatherings, this dress is the perfect choice for effortless flair.",,,taxable,,1,,,0,0,,,,,1,,,,Midi Dresses,"Women’s festive wear collection, Wedding wear for women, Party dresses for ladies, Trendy dresses for women, Branded women’s clothing",,"https://imagizer.imageshack.com/img922/5338/0rQIih.jpg, https://imagizer.imageshack.com/img922/315/RZTU9N.jpg, https://imagizer.imageshack.com/img922/5338/0rQIih.jpg, https://imagizer.imageshack.com/img923/6430/SQa8G1.jpg, https://imagizer.imageshack.com/img924/1249/SccrLS.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,AW04,,Women's Maroon Velvet Solid Printed Shirt Midi Dress with Belt,1,0,visible,"Effortlessly stylish dress with a vibrant abstract print, tie-up shoulder straps, and a chic high-low handkerchief hemline — perfect for casual days or evening gatherings.","Level up your style with this trend-setting dress. Its vibrant abstract print and distinctive high-low handkerchief hemline create an eye-catching look. The tie-up shoulder straps ensure a comfortable and adjustable fit. Whether for daytime casual events or evening gatherings, this dress is the perfect choice for effortless flair.",,,taxable,,1,,,0,0,,,,,1,,,,Midi Dresses,"Women’s festive wear collection, Wedding wear for women, Party dresses for ladies, Trendy dresses for women, Branded women’s clothing",,"https://imagizer.imageshack.com/img922/4845/2tV1YN.jpg, https://imagizer.imageshack.com/img923/3913/zzNkLH.jpg, https://imagizer.imageshack.com/img922/538/FgPCYC.jpg, https://imagizer.imageshack.com/img922/9475/7k3QLO.jpg, https://imagizer.imageshack.com/img924/6162/aDTszV.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,AW05,,Women's Black Velvet Solid Printed Shirt Midi Dress with Belt,1,0,visible,"Effortlessly stylish dress with a vibrant abstract print, tie-up shoulder straps, and a chic high-low handkerchief hemline — perfect for casual days or evening gatherings.","Level up your style with this trend-setting dress. Its vibrant abstract print and distinctive high-low handkerchief hemline create an eye-catching look. The tie-up shoulder straps ensure a comfortable and adjustable fit. Whether for daytime casual events or evening gatherings, this dress is the perfect choice for effortless flair.",,,taxable,,1,,,0,0,,,,,1,,,,Midi Dresses,"Women’s festive wear collection, Wedding wear for women, Party dresses for ladies, Trendy dresses for women, Branded women’s clothing",,"https://imagizer.imageshack.com/img924/2117/qApbuO.jpg, https://imagizer.imageshack.com/img924/7231/Io1ZUd.jpg, https://imagizer.imageshack.com/img922/3362/nZIuXM.jpg, https://imagizer.imageshack.com/img922/5720/hlzFwT.jpg, https://imagizer.imageshack.com/img922/3015/GMo6Xy.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,AW06,,Women's Black Velvet Solid Printed Shirt Midi Dress with Belt,1,0,visible,"Effortlessly stylish dress with a vibrant abstract print, tie-up shoulder straps, and a chic high-low handkerchief hemline — perfect for casual days or evening gatherings.","Level up your style with this trend-setting dress. Its vibrant abstract print and distinctive high-low handkerchief hemline create an eye-catching look. The tie-up shoulder straps ensure a comfortable and adjustable fit. Whether for daytime casual events or evening gatherings, this dress is the perfect choice for effortless flair.",,,taxable,,1,,,0,0,,,,,1,,,,Midi Dresses,"Women’s festive wear collection, Wedding wear for women, Party dresses for ladies, Trendy dresses for women, Branded women’s clothing",,"https://imagizer.imageshack.com/img922/2530/PkXpF7.jpg, https://imagizer.imageshack.com/img922/8527/wkR1Zn.jpg, https://imagizer.imageshack.com/img924/7812/znRyRA.jpg, https://imagizer.imageshack.com/img922/5308/4UHMDn.jpg, https://imagizer.imageshack.com/img922/3547/UiOB6j.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,AW07,,Women's Red Velvet Solid Printed Shirt Midi Dress with Belt,1,0,visible,"Effortlessly stylish dress with a vibrant abstract print, tie-up shoulder straps, and a chic high-low handkerchief hemline — perfect for casual days or evening gatherings.","Level up your style with this trend-setting dress. Its vibrant abstract print and distinctive high-low handkerchief hemline create an eye-catching look. The tie-up shoulder straps ensure a comfortable and adjustable fit. Whether for daytime casual events or evening gatherings, this dress is the perfect choice for effortless flair.",,,taxable,,1,,,0,0,,,,,1,,,,Midi Dresses,"Women’s festive wear collection, Wedding wear for women, Party dresses for ladies, Trendy dresses for women, Branded women’s clothing",,"https://imagizer.imageshack.com/img922/5734/7JXhQ6.jpg, https://imagizer.imageshack.com/img923/2586/ISwrIf.jpg, https://imagizer.imageshack.com/img922/5734/7JXhQ6.jpg, https://imagizer.imageshack.com/img923/551/PpZaej.jpg, https://imagizer.imageshack.com/img923/4130/y3KqOy.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,AW08,,Women's Black Velvet Solid Printed Shirt Midi Dress with Belt,1,0,visible,"Effortlessly stylish dress with a vibrant abstract print, tie-up shoulder straps, and a chic high-low handkerchief hemline — perfect for casual days or evening gatherings.","Level up your style with this trend-setting dress. Its vibrant abstract print and distinctive high-low handkerchief hemline create an eye-catching look. The tie-up shoulder straps ensure a comfortable and adjustable fit. Whether for daytime casual events or evening gatherings, this dress is the perfect choice for effortless flair.",,,taxable,,1,,,0,0,,,,,1,,,,Midi Dresses,"Women’s festive wear collection, Wedding wear for women, Party dresses for ladies, Trendy dresses for women, Branded women’s clothing",,"https://imagizer.imageshack.com/img922/715/RhYuWq.jpg, https://imagizer.imageshack.com/img924/9987/RwUfJL.jpg, https://imagizer.imageshack.com/img924/8813/fUcChn.jpg, https://imagizer.imageshack.com/img923/2088/muWWhP.jpg, https://imagizer.imageshack.com/img924/9839/CYpoHU.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,AW09,,Women's MultiColor Velvet Floral Printed Fit & Flare Dress,1,0,visible,"Effortlessly stylish dress with a vibrant abstract print, tie-up shoulder straps, and a chic high-low handkerchief hemline — perfect for casual days or evening gatherings.","Level up your style with this trend-setting dress. Its vibrant abstract print and distinctive high-low handkerchief hemline create an eye-catching look. The tie-up shoulder straps ensure a comfortable and adjustable fit. Whether for daytime casual events or evening gatherings, this dress is the perfect choice for effortless flair.",,,taxable,,1,,,0,0,,,,,1,,,,Midi Dresses,"Women’s festive wear collection, Wedding wear for women, Party dresses for ladies, Trendy dresses for women, Branded women’s clothing",,"https://imagizer.imageshack.com/img923/1093/hYKd35.jpg, https://imagizer.imageshack.com/img924/5867/XVXZXV.jpg, https://imagizer.imageshack.com/img922/493/fB3ZmH.jpg, https://imagizer.imageshack.com/img924/844/AY1Ic5.jpg, https://imagizer.imageshack.com/img924/1549/jhGnoq.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,AW010,,Wome's Multicolor Printed Cotton A-Line Dress with Embroidered Yoke Midi Dresses,1,0,visible,"Vibrant, tiered mini-dress featuring an intricate, lace-trimmed V-neckline and tasseled hems on the sleeves and skirt. It offers a flattering, flowy fit perfect for a chic, bohemian style.






","This stylish, tiered tunic mini-dress offers a beautiful flared silhouette with a playful, movement-filled skirt. It features an intricately detailed V-neckline with lace and threadwork, and is finished with a trendy fringe/tassel trim on the sleeves and hem. It's a versatile and comfortable statement piece perfect for a modern bohemian look.






",,,taxable,,1,,,0,0,,,,,1,,,,Midi Dresses,"Women’s festive wear collection, Wedding wear for women, Party dresses for ladies, Trendy dresses for women, Branded women’s clothing",,"https://imagizer.imageshack.com/img922/7953/7JtXr1.jpg, https://imagizer.imageshack.com/img922/300/hPXyLQ.jpg, https://imagizer.imageshack.com/img923/637/eBowwR.jpg, https://imagizer.imageshack.com/img922/9505/kKO4DQ.jpg, https://imagizer.imageshack.com/img924/4924/wf480l.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
