ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wp_page_template,Meta: anarkali_loop_product_slider_speed,Meta: anarkali_showcase_type,Meta: anarkali_showcase_bg_type,Meta: anarkali_showcase_custom_bgcolor,Meta: anarkali_showcase_custom_textcolor,Meta: anarkali_badge_color,Meta: anarkali_product_extra_fatures,Meta: anarkali_custom_badge,Meta: anarkali_product_size_guide,Meta: anarkali_countdown_date,Meta: anarkali_countdown_text,Meta: anarkali_product_video_type,Meta: anarkali_product_video_source_type,Meta: anarkali_product_popup_video,Meta: anarkali_product_iframe_video,Meta: anarkali_product_video_preview,Meta: anarkali_product_video_on_shop,Meta: anarkali_tabs_title,Meta: anarkali_tabs_content,Meta: anarkali_product_header_type,Meta: anarkali_product_header_bgcolor,Meta: anarkali_product_header_menuitem_color,Meta: anarkali_product_header_menuitem_hvrcolor,Meta: anarkali_product_header_svgicon_color,Meta: anarkali_product_header_counter_bgcolor,Meta: anarkali_product_header_counter_color,Meta: anarkali_product_sticky_header_bgcolor,Meta: anarkali_product_sticky_header_menuitem_color,Meta: anarkali_product_sticky_header_menuitem_hvrcolor,Meta: anarkali_product_sticky_header_svgicon_color,Meta: anarkali_product_sticky_header_counter_bgcolor,Meta: anarkali_product_sticky_header_counter_color,Meta: _product_360_image_gallery
,variable,FKD1,,Women's Cotton Printed Fit & Flare Anarkali Gown Midi Dress,1,0,visible,,"Women's Cotton Printed Midi Dress featuring a flattering V-neck and a fit & flare silhouette. Made from soft, breathable cotton, this dress offers all-day comfort and a charming printed design. Perfect for casual outings, brunches, vacations, or summer getaways, this midi dress is your go-to for effortless chic.",,,taxable,,1,,,0,0,,,,,1,,,,Awari Kurti Collection,,,"https://imagizer.imageshack.com/img922/3682/60TuMQ.jpg, https://imagizer.itemageshack.com/img923/3069/0ndyTU.jpg, https://imagizer.imageshack.com/img923/7343/sDUnk5.jpg, https://imagizer.imageshack.com/img922/1903/fpIhsm.jpg, https://imagizer.imageshack.com/img922/4871/hc7EJF.jpg, https://imagizer.imageshack.com/img923/6572/us4Ctv.jpg, https://imagizer.imageshack.com/img924/8049/XvOUqB.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,FKD2,,Women's Cotton Printed Fit & Flare Anarkali Gown Midi Dress,1,0,visible,,"Women's Cotton Printed Midi Dress featuring a flattering V-neck and a fit & flare silhouette. Made from soft, breathable cotton, this dress offers all-day comfort and a charming printed design. Perfect for casual outings, brunches, vacations, or summer getaways, this midi dress is your go-to for effortless chic.",,,taxable,,1,,,0,0,,,,,1,,,,Awari Kurti Collection,,,"https://imagizer.imageshack.com/img924/9088/JalxX6.jpg, https://imagizer.imageshack.com/img924/9088/JalxX6.jpg, https://imagizer.imageshack.com/img924/9880/8TPPH2.jpg, https://imagizer.imageshack.com/img923/4696/kUIDiL.jpg, https://imagizer.imageshack.com/img922/4981/JOw0Sk.jpg, https://imagizer.imageshack.com/img922/4967/1Tg7ww.jpg, https://imagizer.imageshack.com/img922/5139/ev8cEH.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,FKD3,,Women's Cotton Printed Fit & Flare Anarkali Gown Midi Dress,1,0,visible,,"Women's Cotton Printed Midi Dress featuring a flattering V-neck and a fit & flare silhouette. Made from soft, breathable cotton, this dress offers all-day comfort and a charming printed design. Perfect for casual outings, brunches, vacations, or summer getaways, this midi dress is your go-to for effortless chic.",,,taxable,,1,,,0,0,,,,,1,,,,Awari Kurti Collection,,,"https://imagizer.imageshack.com/img922/3980/ecfI0b.jpg, https://imagizer.imageshack.com/img922/3980/ecfI0b.jpg, https://imagizer.imageshack.com/img923/9604/HdLGhg.jpg, https://imagizer.imageshack.com/img922/6774/lSSdIg.jpg, https://imagizer.imageshack",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,FKD4,,Women's Cotton Printed Fit & Flare Anarkali Gown Midi Dress,1,0,visible,,"Women's Cotton Printed Midi Dress featuring a flattering V-neck and a fit & flare silhouette. Made from soft, breathable cotton, this dress offers all-day comfort and a charming printed design. Perfect for casual outings, brunches, vacations, or summer getaways, this midi dress is your go-to for effortless chic.",,,taxable,,1,,,0,0,,,,,1,,,,Awari Kurti Collection,,,"https://imagizer.imageshack.com/img923/2546/8fDPk5.jpg, https://imagizer.imageshack.com/img923/2546/8fDPk5.jpg, https://imagizer.imageshack.com/img924/7326/FQehfF.jpg, https://imagizer.imageshack.com/img923/8902/foF1p0.jpg, https://imagizer.imageshack.com/img924/3319/CKQvCc.jpg, https://imagizer.imageshack.com/img923/6318/DbjDJq.jpg, https://imagizer.imageshack.com/img923/1860/8OGIgL.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,FKD5,,Women's Cotton Printed Fit & Flare Anarkali Gown Midi Dress,1,0,visible,,"Women's Cotton Printed Midi Dress featuring a flattering V-neck and a fit & flare silhouette. Made from soft, breathable cotton, this dress offers all-day comfort and a charming printed design. Perfect for casual outings, brunches, vacations, or summer getaways, this midi dress is your go-to for effortless chic.",,,taxable,,1,,,0,0,,,,,1,,,,Awari Kurti Collection,,,"https://imagizer.imageshack.com/img924/6274/uJXS7F.jpg, https://imagizer.imageshack.com/img924/6274/uJXS7F.jpg, https://imagizer.imageshack.com/img923/4967/qRT78m.jpg, https://imagizer.imageshack.com/img922/2787/YU8fCB.jpg, https://imagizer.imageshack.com/img922/1981/DplAsj.jpg, https://imagizer.imageshack.com/img923/4733/JeFMB4.jpg, https://imagizer.imageshack.com/img924/764/cQf6Vs.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,FKD6,,Women's Cotton Printed Fit & Flare Anarkali Gown Midi Dress,1,0,visible,,"Women's Cotton Printed Midi Dress featuring a flattering V-neck and a fit & flare silhouette. Made from soft, breathable cotton, this dress offers all-day comfort and a charming printed design. Perfect for casual outings, brunches, vacations, or summer getaways, this midi dress is your go-to for effortless chic.",,,taxable,,1,,,0,0,,,,,1,,,,Awari Kurti Collection,,,"https://imagizer.imageshack.com/img922/8029/ieMbxn.jpg, https://imagizer.imageshack.com/img922/8029/ieMbxn.jpg, https://imagizer.imageshack.com/img924/1412/JP2puh.jpg, https://imagizer.imageshack.com/img924/1070/RejfKJ.jpg, https://imagizer.imageshack.com/img924/9145/ZA5Gwy.jpg, https://imagizer.imageshack.com/img924/3470/e4ioot.jpg, https://imagizer.imageshack.com/img922/6853/E4EUeP.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,FKD7,,Women's Cotton Printed Fit & Flare Anarkali Gown Midi Dress,1,0,visible,,"Women's Cotton Printed Midi Dress featuring a flattering V-neck and a fit & flare silhouette. Made from soft, breathable cotton, this dress offers all-day comfort and a charming printed design. Perfect for casual outings, brunches, vacations, or summer getaways, this midi dress is your go-to for effortless chic.",,,taxable,,1,,,0,0,,,,,1,,,,Awari Kurti Collection,,,"https://imagizer.imageshack.com/img924/853/9p6ua5.jpg, https://imagizer.imageshack.com/img922/1765/mZUZW0.jpg, https://imagizer.imageshack.com/img924/3746/rKfkom.jpg, https://imagizer.imageshack.com/img922/6918/oea1Oc.jpg, https://imagizer.imageshack.com/img922/430/D5mE41.jpg, https://imagizer.imageshack.com/img922/5496/Z3KofE.jpg, https://imagizer.imageshack.com/img923/6397/V64h3X.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,FKD8,,Women's Cotton Printed Fit & Flare Anarkali Gown Midi Dress,1,0,visible,,"Women's Cotton Printed Midi Dress featuring a flattering V-neck and a fit & flare silhouette. Made from soft, breathable cotton, this dress offers all-day comfort and a charming printed design. Perfect for casual outings, brunches, vacations, or summer getaways, this midi dress is your go-to for effortless chic.",,,taxable,,1,,,0,0,,,,,1,,,,Awari Kurti Collection,,,"https://imagizer.imageshack.com/img923/3566/zDaaa8.jpg, https://imagizer.imageshack.com/img923/3566/zDaaa8.jpg, https://imagizer.imageshack.com/img924/423/UayYhU.jpg, https://imagizer.imageshack.com/img923/6339/jzyegx.jpg, https://imagizer.imageshack.com/img922/3686/D8NDw3.jpg, https://imagizer.imageshack.com/img923/3515/Fef9pS.jpg, https://imagizer.imageshack.com/img924/522/qnxnle.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,FKD9,,Women's Cotton Printed Fit & Flare Anarkali Gown Midi Dress,1,0,visible,,"Women's Cotton Printed Midi Dress featuring a flattering V-neck and a fit & flare silhouette. Made from soft, breathable cotton, this dress offers all-day comfort and a charming printed design. Perfect for casual outings, brunches, vacations, or summer getaways, this midi dress is your go-to for effortless chic.",,,taxable,,1,,,0,0,,,,,1,,,,Awari Kurti Collection,,,"https://imagizer.imageshack.com/img924/1061/zkVbt5.jpg, https://imagizer.imageshack.com/img924/1791/2brjTc.jpg, https://imagizer.imageshack.com/img922/6375/zfAq43.jpg, https://imagizer.imageshack.com/img922/1686/imfUe4.jpg, https://imagizer.imageshack.com/im",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,FKD10,,Women's Cotton Printed Fit & Flare Anarkali Gown Midi Dress,1,0,visible,,"Women's Cotton Printed Midi Dress featuring a flattering V-neck and a fit & flare silhouette. Made from soft, breathable cotton, this dress offers all-day comfort and a charming printed design. Perfect for casual outings, brunches, vacations, or summer getaways, this midi dress is your go-to for effortless chic.",,,taxable,,1,,,0,0,,,,,1,,,,Awari Kurti Collection,,,"https://imagizer.imageshack.com/img924/4553/BBZDRy.jpg, https://imagizer.imageshack.com/img924/4553/BBZDRy.jpg, https://imagizer.imageshack.com/img923/7994/uFH2rF.jpg, https://imagizer.imageshack.com/img922/8794/Lxp4cT.jpg, https://imagizer.imageshack.com/img924/6116/TZqJIt.jpg, https://imagizer.imageshack.com/img923/2546/OrsUIl.jpg, https://imagizer.imageshack.com/img922/3720/jxM5DG.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
