ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wp_page_template,Meta: anarkali_loop_product_slider_speed,Meta: anarkali_showcase_type,Meta: anarkali_showcase_bg_type,Meta: anarkali_showcase_custom_bgcolor,Meta: anarkali_showcase_custom_textcolor,Meta: anarkali_badge_color,Meta: anarkali_product_extra_fatures,Meta: anarkali_custom_badge,Meta: anarkali_product_size_guide,Meta: anarkali_countdown_date,Meta: anarkali_countdown_text,Meta: anarkali_product_video_type,Meta: anarkali_product_video_source_type,Meta: anarkali_product_popup_video,Meta: anarkali_product_iframe_video,Meta: anarkali_product_video_preview,Meta: anarkali_product_video_on_shop,Meta: anarkali_tabs_title,Meta: anarkali_tabs_content,Meta: anarkali_product_header_type,Meta: anarkali_product_header_bgcolor,Meta: anarkali_product_header_menuitem_color,Meta: anarkali_product_header_menuitem_hvrcolor,Meta: anarkali_product_header_svgicon_color,Meta: anarkali_product_header_counter_bgcolor,Meta: anarkali_product_header_counter_color,Meta: anarkali_product_sticky_header_bgcolor,Meta: anarkali_product_sticky_header_menuitem_color,Meta: anarkali_product_sticky_header_menuitem_hvrcolor,Meta: anarkali_product_sticky_header_svgicon_color,Meta: anarkali_product_sticky_header_counter_bgcolor,Meta: anarkali_product_sticky_header_counter_color,Meta: _product_360_image_gallery
,variable,HC-47,,Women's Rayon Printed Straight Kurti With Pant Set,1,0,visible,"Elegant Two Piece Kurti with Pant Set, crafted for comfort and style. Perfect for office wear, festive occasions, or casual outings, this timeless outfit ensures a graceful and fashionable look all day.","Two Piece Kurti with Pant Set, designed to offer a perfect balance of comfort and style. The trendy kurti paired with matching pants gives you a graceful look that’s ideal for daily wear, office wear, festive events, or casual outings. With its smart fit and timeless design, this outfit ensures you stay fashionable and comfortable throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img922/1501/sqMz3v.jpg, https://imagizer.imageshack.com/img923/6079/b5Nt0j.jpg, https://imagizer.imageshack.com/img923/9066/Q6UKKC.jpg, https://imagizer.imageshack.com/img922/2501/I7PKMH.jpg, https://imagizer.imageshack.com/img922/6720/FACStN.jpg, https://imagizer.imageshack.com/img924/9046/S5cOqh.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL, S",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-48,,Women's Rayon Floral Printed Sleeveless Straight Kurti Set,1,0,visible,"Elegant Two Piece Kurti with Pant Set, crafted for comfort and style. Perfect for office wear, festive occasions, or casual outings, this timeless outfit ensures a graceful and fashionable look all day.","Two Piece Kurti with Pant Set, designed to offer a perfect balance of comfort and style. The trendy kurti paired with matching pants gives you a graceful look that’s ideal for daily wear, office wear, festive events, or casual outings. With its smart fit and timeless design, this outfit ensures you stay fashionable and comfortable throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img924/6126/Bntazx.jpg, https://imagizer.imageshack.com/img922/2605/Ka2JNj.jpg, https://imagizer.imageshack.com/img924/6182/5jbprq.jpg, https://imagizer.imageshack.com/img924/6212/i7nv2W.jpg, https://imagizer.imageshack.com/img922/1205/9Z29Q5.jpg, https://imagizer.imageshack.com/img924/2172/gsInvz.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL, S",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-49-OLIVE-GREEN,,Women's Rayon Embroidered A-Line Kurti With Pant Set,1,0,visible,"Elegant Two Piece Kurti with Pant Set, crafted for comfort and style. Perfect for office wear, festive occasions, or casual outings, this timeless outfit ensures a graceful and fashionable look all day.","Two Piece Kurti with Pant Set, designed to offer a perfect balance of comfort and style. The trendy kurti paired with matching pants gives you a graceful look that’s ideal for daily wear, office wear, festive events, or casual outings. With its smart fit and timeless design, this outfit ensures you stay fashionable and comfortable throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img922/6877/Oo9qR1.jpg, https://imagizer.imageshack.com/img922/2245/brNkZl.jpg, https://imagizer.imageshack.com/img923/6853/jLG3vn.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL, S",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-49-ORANGE,,Women's Rayon Embroidered A-Line Kurti With Pant Set,1,0,visible,"Elegant Two Piece Kurti with Pant Set, crafted for comfort and style. Perfect for office wear, festive occasions, or casual outings, this timeless outfit ensures a graceful and fashionable look all day.","Two Piece Kurti with Pant Set, designed to offer a perfect balance of comfort and style. The trendy kurti paired with matching pants gives you a graceful look that’s ideal for daily wear, office wear, festive events, or casual outings. With its smart fit and timeless design, this outfit ensures you stay fashionable and comfortable throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img923/999/E7xuwR.jpg, https://imagizer.imageshack.com/img924/4817/7OKP1t.jpg, https://imagizer.imageshack.com/img923/1898/MwwVnw.jpg, https://imagizer.imageshack.com/img924/3156/XJVn8R.jpg, https://imagizer.imageshack.com/img922/2043/4EWMvj.jpg, https://imagizer.imageshack.com/img924/3456/rfHaxl.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL, S",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-50-WHITE,,Women's Cotton Embroidery Sleeveless Kurti With Ankle length Pant Set,1,0,visible,"Elegant Two Piece Kurti with Pant Set, crafted for comfort and style. Perfect for office wear, festive occasions, or casual outings, this timeless outfit ensures a graceful and fashionable look all day.","Two Piece Kurti with Pant Set, designed to offer a perfect balance of comfort and style. The trendy kurti paired with matching pants gives you a graceful look that’s ideal for daily wear, office wear, festive events, or casual outings. With its smart fit and timeless design, this outfit ensures you stay fashionable and comfortable throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img923/7038/HJMWVM.jpg, https://imagizer.imageshack.com/img923/6426/E5kmRn.jpg, https://imagizer.imageshack.com/img922/5234/2klGOj.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL, S",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-50-GREEN,,Women's Cotton Embroidery Sleeveless Kurti With Ankle length Pant Set,1,0,visible,"Elegant Two Piece Kurti with Pant Set, crafted for comfort and style. Perfect for office wear, festive occasions, or casual outings, this timeless outfit ensures a graceful and fashionable look all day.","Two Piece Kurti with Pant Set, designed to offer a perfect balance of comfort and style. The trendy kurti paired with matching pants gives you a graceful look that’s ideal for daily wear, office wear, festive events, or casual outings. With its smart fit and timeless design, this outfit ensures you stay fashionable and comfortable throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img923/4711/NhnqGs.jpg, https://imagizer.imageshack.com/img922/4303/plr2BY.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL, S",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-50-BROWN,,Women's Cotton Embroidery Sleeveless Kurti With Ankle length Pant Set,1,0,visible,"Elegant Two Piece Kurti with Pant Set, crafted for comfort and style. Perfect for office wear, festive occasions, or casual outings, this timeless outfit ensures a graceful and fashionable look all day.","Two Piece Kurti with Pant Set, designed to offer a perfect balance of comfort and style. The trendy kurti paired with matching pants gives you a graceful look that’s ideal for daily wear, office wear, festive events, or casual outings. With its smart fit and timeless design, this outfit ensures you stay fashionable and comfortable throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img923/5111/WnovBM.jpg, https://imagizer.imageshack.com/img922/3603/WMqGbR.jpg, https://imagizer.imageshack.com/img923/3467/EIMjK6.jpg, https://imagizer.imageshack.com/img922/6972/zMN3fc.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL, S",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-64,,Women's Cotton Floral Printed Straight Kurti With Pant Set,1,0,visible,"Elegant Two Piece Kurti with Pant Set, crafted for comfort and style. Perfect for office wear, festive occasions, or casual outings, this timeless outfit ensures a graceful and fashionable look all day.","Two Piece Kurti with Pant Set, designed to offer a perfect balance of comfort and style. The trendy kurti paired with matching pants gives you a graceful look that’s ideal for daily wear, office wear, festive events, or casual outings. With its smart fit and timeless design, this outfit ensures you stay fashionable and comfortable throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img922/6727/hrhHwh.jpg, https://imagizer.imageshack.com/img923/1180/GerxwN.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL, S",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-67-GREEN,,Women's Cotton Floral Printed Straight Kurti With Pant Set,1,0,visible,"Elegant Two Piece Kurti with Pant Set, crafted for comfort and style. Perfect for office wear, festive occasions, or casual outings, this timeless outfit ensures a graceful and fashionable look all day.","Two Piece Kurti with Pant Set, designed to offer a perfect balance of comfort and style. The trendy kurti paired with matching pants gives you a graceful look that’s ideal for daily wear, office wear, festive events, or casual outings. With its smart fit and timeless design, this outfit ensures you stay fashionable and comfortable throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img924/6915/CYrACK.jpg, https://imagizer.imageshack.com/img923/5777/LKHTX9.jpg, https://imagizer.imageshack.com/img924/3132/YFe1im.jpg, https://imagizer.imageshack.com/img923/5520/nuICwB.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL, S",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-67-PURPLE,,Women's Cotton Floral Printed Straight Kurti With Pant Set,1,0,visible,"Elegant Two Piece Kurti with Pant Set, crafted for comfort and style. Perfect for office wear, festive occasions, or casual outings, this timeless outfit ensures a graceful and fashionable look all day.","Two Piece Kurti with Pant Set, designed to offer a perfect balance of comfort and style. The trendy kurti paired with matching pants gives you a graceful look that’s ideal for daily wear, office wear, festive events, or casual outings. With its smart fit and timeless design, this outfit ensures you stay fashionable and comfortable throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Kurti With Pant Set,,,"https://imagizer.imageshack.com/img923/6899/egl8YW.jpg, https://imagizer.imageshack.com/img924/8876/gUWmRg.jpg, https://imagizer.imageshack.com/img924/764/JXSEix.jpg, https://imagizer.imageshack.com/img923/6954/Y3QrBr.jpg, https://imagizer.imageshack.com/img922/6057/hLNsjt.jpg, https://imagizer.imageshack.com/img922/7783/DohcCW.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL, S",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
