ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wp_page_template,Meta: anarkali_loop_product_slider_speed,Meta: anarkali_showcase_type,Meta: anarkali_showcase_bg_type,Meta: anarkali_showcase_custom_bgcolor,Meta: anarkali_showcase_custom_textcolor,Meta: anarkali_badge_color,Meta: anarkali_product_extra_fatures,Meta: anarkali_custom_badge,Meta: anarkali_product_size_guide,Meta: anarkali_countdown_date,Meta: anarkali_countdown_text,Meta: anarkali_product_video_type,Meta: anarkali_product_video_source_type,Meta: anarkali_product_popup_video,Meta: anarkali_product_iframe_video,Meta: anarkali_product_video_preview,Meta: anarkali_product_video_on_shop,Meta: anarkali_tabs_title,Meta: anarkali_tabs_content,Meta: anarkali_product_header_type,Meta: anarkali_product_header_bgcolor,Meta: anarkali_product_header_menuitem_color,Meta: anarkali_product_header_menuitem_hvrcolor,Meta: anarkali_product_header_svgicon_color,Meta: anarkali_product_header_counter_bgcolor,Meta: anarkali_product_header_counter_color,Meta: anarkali_product_sticky_header_bgcolor,Meta: anarkali_product_sticky_header_menuitem_color,Meta: anarkali_product_sticky_header_menuitem_hvrcolor,Meta: anarkali_product_sticky_header_svgicon_color,Meta: anarkali_product_sticky_header_counter_bgcolor,Meta: anarkali_product_sticky_header_counter_color,Meta: _product_360_image_gallery
,variable,KB-285-black,,Womens Pure Romansilk Chanderi Anarkali Kurti with Pant & Dupatta Set,1,0,visible,"Step into timeless elegance with this 3 Piece Anarkali Set, featuring a flared gown, matching pant, and dupatta. Crafted in premium Romansilk Chanderi with delicate lace and mirror accents, it’s the perfect blend of royal charm and modern comfort for weddings and festive celebrations.","Elegance with this beautifully crafted 3 Piece Anarkali Set featuring a fully flared gown, matching pant, and dupatta. Designed in premium Pure Romansilk Chanderi fabric, this outfit combines royal charm with modern comfort, making it a perfect choice for weddings, festive celebrations, and special occasions. The intricate lace work on the yoke, paired with a graceful dupatta adorned with fancy mirror lace, adds a touch of sophistication to your ethnic look. With its flattering silhouette and comfortable fit, this ready-to-wear ensemble ensures you look stunning and feel confident throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Anarkali Kurti with Pant & Dupatta Set,,,"https://imagizer.imageshack.com/img923/5848/fnNOue.jpg, https://imagizer.imageshack.com/img923/6294/O6Qx3P.jpg, https://imagizer.imageshack.com/img921/8780/Q4sn2T.jpg, https://imagizer.imageshack.com/img922/7302/n9YF8Y.jpg, https://imagizer.imageshack.com/img924/3609/TGUHHW.jpg, https://imagizer.imageshack.com/img921/2637/MN1MQz.jpg, https://imagizer.imageshack.com/img924/9162/UErkVX.jpg, https://imagizer.imageshack.com/img922/9282/i9VVNt.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,KB-285-green,,Womens Pure Romansilk Chanderi Anarkali Kurti with Pant & Dupatta Set,1,0,visible,"Step into timeless elegance with this 3 Piece Anarkali Set, featuring a flared gown, matching pant, and dupatta. Crafted in premium Romansilk Chanderi with delicate lace and mirror accents, it’s the perfect blend of royal charm and modern comfort for weddings and festive celebrations.","Elegance with this beautifully crafted 3 Piece Anarkali Set featuring a fully flared gown, matching pant, and dupatta. Designed in premium Pure Romansilk Chanderi fabric, this outfit combines royal charm with modern comfort, making it a perfect choice for weddings, festive celebrations, and special occasions. The intricate lace work on the yoke, paired with a graceful dupatta adorned with fancy mirror lace, adds a touch of sophistication to your ethnic look. With its flattering silhouette and comfortable fit, this ready-to-wear ensemble ensures you look stunning and feel confident throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Anarkali Kurti with Pant & Dupatta Set,,,"https://imagizer.imageshack.com/img921/1900/KVrtzW.jpg, https://imagizer.imageshack.com/img922/4517/VZM0sS.jpg, https://imagizer.imageshack.com/img924/7474/F7R7qZ.jpg, https://imagizer.imageshack.com/img923/9448/IkayIo.jpg, https://imagizer.imageshack.com/img923/6278/HfVKXN.jpg, https://imagizer.imageshack.com/img922/3606/LWimnO.jpg, https://imagizer.imageshack.com/img924/8274/rA83RC.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,KB-285-maroon,,Womens Pure Romansilk Chanderi Anarkali Kurti with Pant & Dupatta Set,1,0,visible,"Step into timeless elegance with this 3 Piece Anarkali Set, featuring a flared gown, matching pant, and dupatta. Crafted in premium Romansilk Chanderi with delicate lace and mirror accents, it’s the perfect blend of royal charm and modern comfort for weddings and festive celebrations.","Elegance with this beautifully crafted 3 Piece Anarkali Set featuring a fully flared gown, matching pant, and dupatta. Designed in premium Pure Romansilk Chanderi fabric, this outfit combines royal charm with modern comfort, making it a perfect choice for weddings, festive celebrations, and special occasions. The intricate lace work on the yoke, paired with a graceful dupatta adorned with fancy mirror lace, adds a touch of sophistication to your ethnic look. With its flattering silhouette and comfortable fit, this ready-to-wear ensemble ensures you look stunning and feel confident throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Anarkali Kurti with Pant & Dupatta Set,,,"https://imagizer.imageshack.com/img924/4981/krc78U.jpg, https://imagizer.imageshack.com/img921/9105/eu7QQ7.jpg, https://imagizer.imageshack.com/img924/8096/jIfkQx.jpg, https://imagizer.imageshack.com/img921/2987/0HmYNc.jpg, https://imagizer.imageshack.com/img923/443/GFhkLH.jpg, https://imagizer.imageshack.com/img924/8346/HFYJbU.jpg, https://imagizer.imageshack.com/img922/7899/s2Qcex.jpg, https://imagizer.imageshack.com/img921/5053/hRzgTX.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,KB-285-pink,,Womens Pure Romansilk Chanderi Anarkali Kurti with Pant & Dupatta Set,1,0,visible,"Step into timeless elegance with this 3 Piece Anarkali Set, featuring a flared gown, matching pant, and dupatta. Crafted in premium Romansilk Chanderi with delicate lace and mirror accents, it’s the perfect blend of royal charm and modern comfort for weddings and festive celebrations.","Elegance with this beautifully crafted 3 Piece Anarkali Set featuring a fully flared gown, matching pant, and dupatta. Designed in premium Pure Romansilk Chanderi fabric, this outfit combines royal charm with modern comfort, making it a perfect choice for weddings, festive celebrations, and special occasions. The intricate lace work on the yoke, paired with a graceful dupatta adorned with fancy mirror lace, adds a touch of sophistication to your ethnic look. With its flattering silhouette and comfortable fit, this ready-to-wear ensemble ensures you look stunning and feel confident throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Anarkali Kurti with Pant & Dupatta Set,,,"https://imagizer.imageshack.com/img921/8701/RIghnw.jpg, https://imagizer.imageshack.com/img924/5435/hazC1Z.jpg, https://imagizer.imageshack.com/img921/8763/QmFo2a.jpg, https://imagizer.imageshack.com/img921/5905/8ylFu0.jpg, https://imagizer.imageshack.com/img924/6827/DIQA5T.jpg, https://imagizer.imageshack.com/img921/9292/f55SbY.jpg, https://imagizer.imageshack.com/img921/6678/EQyf8x.jpg, https://imagizer.imageshack.com/img922/5645/diEztd.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,KB-285-yellow,,Womens Pure Romansilk Chanderi Anarkali Kurti with Pant & Dupatta Set,1,0,visible,"Step into timeless elegance with this 3 Piece Anarkali Set, featuring a flared gown, matching pant, and dupatta. Crafted in premium Romansilk Chanderi with delicate lace and mirror accents, it’s the perfect blend of royal charm and modern comfort for weddings and festive celebrations.","Elegance with this beautifully crafted 3 Piece Anarkali Set featuring a fully flared gown, matching pant, and dupatta. Designed in premium Pure Romansilk Chanderi fabric, this outfit combines royal charm with modern comfort, making it a perfect choice for weddings, festive celebrations, and special occasions. The intricate lace work on the yoke, paired with a graceful dupatta adorned with fancy mirror lace, adds a touch of sophistication to your ethnic look. With its flattering silhouette and comfortable fit, this ready-to-wear ensemble ensures you look stunning and feel confident throughout the day.",,,taxable,,1,,,0,0,,,,,1,,,,Anarkali Kurti with Pant & Dupatta Set,,,"https://imagizer.imageshack.com/img922/7895/LJ2rLO.jpg, https://imagizer.imageshack.com/img921/2939/UGje1n.jpg, https://imagizer.imageshack.com/img922/7742/ic5Hir.jpg, https://imagizer.imageshack.com/img923/750/5B9xKR.jpg, https://imagizer.imageshack.com/img924/1593/2FZOIK.jpg, https://imagizer.imageshack.com/img921/3290/UePi4g.jpg, https://imagizer.imageshack.com/img924/9822/BnH3tc.jpg, https://imagizer.imageshack.com/img921/1561/QpX9h8.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,KB-287-sblue,,Womens Crunchy Silk Anarkali Kurti with Pant & Dupatta Set,1,0,visible,"Shine with elegance in this 3 Piece Anarkali Set, crafted from luxurious Crunchy Silk with sparkling SiroSki work. Featuring a flared kali gown, canvas patta for volume, and a dupatta with fancy lace border, this ready-to-wear ensemble is the perfect blend of glamour and comfort for weddings and festive occasions.","Add a touch of glamour to your festive wardrobe with this stunning 3 Piece Anarkali Set crafted from luxurious Crunchy Silk fabric with sparkling SiroSki work. Designed in a fully flared kali pattern with a canvas patta for added volume, this outfit beautifully blends elegance and comfort. The graceful dupatta with fancy lace border detailing enhances its charm, while the ready-to-wear pant ensures complete ease of styling. Perfect for weddings, festive celebrations, and special occasions, this ensemble is a timeless choice for every woman who loves to shine.",,,taxable,,1,,,0,0,,,,,1,,,,Anarkali Kurti with Pant & Dupatta Set,,,"https://imagizer.imageshack.com/img921/2003/NCEAvs.jpg, https://imagizer.imageshack.com/img921/1274/4jew5u.jpg, https://imagizer.imageshack.com/img922/2152/bEJavG.jpg, https://imagizer.imageshack.com/img922/5485/95kZzG.jpg, https://imagizer.imageshack.com/img924/970/4g0Tn7.jpg, https://imagizer.imageshack.com/img921/5561/FdoujC.jpg, https://imagizer.imageshack.com/img921/1607/QewpVS.jpg, https://imagizer.imageshack.com/img922/2316/MjtFrh.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,KB-262-mt,,Womens Crunchy Silk Anarkali Kurti with Pant & Dupatta Set,1,0,visible,"Shine with elegance in this 3 Piece Anarkali Set, crafted from luxurious Crunchy Silk with sparkling SiroSki work. Featuring a flared kali gown, canvas patta for volume, and a dupatta with fancy lace border, this ready-to-wear ensemble is the perfect blend of glamour and comfort for weddings and festive occasions.","Add a touch of glamour to your festive wardrobe with this stunning 3 Piece Anarkali Set crafted from luxurious Crunchy Silk fabric with sparkling SiroSki work. Designed in a fully flared kali pattern with a canvas patta for added volume, this outfit beautifully blends elegance and comfort. The graceful dupatta with fancy lace border detailing enhances its charm, while the ready-to-wear pant ensures complete ease of styling. Perfect for weddings, festive celebrations, and special occasions, this ensemble is a timeless choice for every woman who loves to shine.",,,taxable,,1,,,0,0,,,,,1,,,,Anarkali Kurti with Pant & Dupatta Set,,,"https://imagizer.imageshack.com/img922/7441/5CPIAR.jpg, https://imagizer.imageshack.com/img924/4610/AeSgdi.jpg, https://imagizer.imageshack.com/img923/5782/wZ9u2v.jpg, https://imagizer.imageshack.com/img922/957/ks8USw.jpg, https://imagizer.imageshack.com/img924/6656/K6e6aC.jpg, https://imagizer.imageshack.com/img924/5224/1TpGIT.jpg, https://imagizer.imageshack.com/img923/1429/ozKcd3.jpg, https://imagizer.imageshack.com/img923/2194/Rit1zV.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,KB-262-white,,Womens Crunchy Silk Anarkali Kurti with Pant & Dupatta Set,1,0,visible,"Shine with elegance in this 3 Piece Anarkali Set, crafted from luxurious Crunchy Silk with sparkling SiroSki work. Featuring a flared kali gown, canvas patta for volume, and a dupatta with fancy lace border, this ready-to-wear ensemble is the perfect blend of glamour and comfort for weddings and festive occasions.","Add a touch of glamour to your festive wardrobe with this stunning 3 Piece Anarkali Set crafted from luxurious Crunchy Silk fabric with sparkling SiroSki work. Designed in a fully flared kali pattern with a canvas patta for added volume, this outfit beautifully blends elegance and comfort. The graceful dupatta with fancy lace border detailing enhances its charm, while the ready-to-wear pant ensures complete ease of styling. Perfect for weddings, festive celebrations, and special occasions, this ensemble is a timeless choice for every woman who loves to shine.",,,taxable,,1,,,0,0,,,,,1,,,,Anarkali Kurti with Pant & Dupatta Set,,,"https://imagizer.imageshack.com/img923/8301/Rm2HOH.jpg, https://imagizer.imageshack.com/img923/966/uLvUst.jpg, https://imagizer.imageshack.com/img923/9434/fDck8p.jpg, https://imagizer.imageshack.com/img922/8044/v9TAu6.jpg, https://imagizer.imageshack.com/img923/5521/CN1xTK.jpg, https://imagizer.imageshack.com/img921/3008/C9Bea9.jpg, https://imagizer.imageshack.com/img923/854/m4QRa2.jpg, https://imagizer.imageshack.com/img922/3843/a8wlA2.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,KB-286-nblue,,Womens Crunchy Silk Anarkali Kurti with Pant & Dupatta Set,1,0,visible,"Shine with elegance in this 3 Piece Anarkali Set, crafted from luxurious Crunchy Silk with sparkling SiroSki work. Featuring a flared kali gown, canvas patta for volume, and a dupatta with fancy lace border, this ready-to-wear ensemble is the perfect blend of glamour and comfort for weddings and festive occasions.","Add a touch of glamour to your festive wardrobe with this stunning 3 Piece Anarkali Set crafted from luxurious Crunchy Silk fabric with sparkling SiroSki work. Designed in a fully flared kali pattern with a canvas patta for added volume, this outfit beautifully blends elegance and comfort. The graceful dupatta with fancy lace border detailing enhances its charm, while the ready-to-wear pant ensures complete ease of styling. Perfect for weddings, festive celebrations, and special occasions, this ensemble is a timeless choice for every woman who loves to shine.",,,taxable,,1,,,0,0,,,,,1,,,,Anarkali Kurti with Pant & Dupatta Set,,,"https://imagizer.imageshack.com/img924/3974/x2lgYa.jpg, https://imagizer.imageshack.com/img921/3366/0Iyiud.jpg, https://imagizer.imageshack.com/img924/2479/ivMHNo.jpg, https://imagizer.imageshack.com/img921/3791/oeFchm.jpg, https://imagizer.imageshack.com/img921/5475/MmpZfv.jpg, https://imagizer.imageshack.com/img923/5206/shUZjo.jpg, https://imagizer.imageshack.com/img922/3130/7Ke9lV.jpg, https://imagizer.imageshack.com/img924/5015/BUQgfS.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,KB-286-mt2,,Womens Crunchy Silk Anarkali Kurti with Pant & Dupatta Set,1,0,visible,"Shine with elegance in this 3 Piece Anarkali Set, crafted from luxurious Crunchy Silk with sparkling SiroSki work. Featuring a flared kali gown, canvas patta for volume, and a dupatta with fancy lace border, this ready-to-wear ensemble is the perfect blend of glamour and comfort for weddings and festive occasions.","Add a touch of glamour to your festive wardrobe with this stunning 3 Piece Anarkali Set crafted from luxurious Crunchy Silk fabric with sparkling SiroSki work. Designed in a fully flared kali pattern with a canvas patta for added volume, this outfit beautifully blends elegance and comfort. The graceful dupatta with fancy lace border detailing enhances its charm, while the ready-to-wear pant ensures complete ease of styling. Perfect for weddings, festive celebrations, and special occasions, this ensemble is a timeless choice for every woman who loves to shine.",,,taxable,,1,,,0,0,,,,,1,,,,Anarkali Kurti with Pant & Dupatta Set,,,"https://imagizer.imageshack.com/img923/5033/B7SqV8.jpg, https://imagizer.imageshack.com/img922/3981/4o23Dn.jpg, https://imagizer.imageshack.com/img924/4853/n56UDj.jpg, https://imagizer.imageshack.com/img923/1765/Ulvh0T.jpg, https://imagizer.imageshack.com/img924/1020/a8g5GQ.jpg, https://imagizer.imageshack.com/img924/7346/CfUfsf.jpg, https://imagizer.imageshack.com/img923/7321/MCHaBE.jpg, https://imagizer.imageshack.com/img924/3869/u8nGF5.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
