ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wp_page_template,Meta: anarkali_loop_product_slider_speed,Meta: anarkali_showcase_type,Meta: anarkali_showcase_bg_type,Meta: anarkali_showcase_custom_bgcolor,Meta: anarkali_showcase_custom_textcolor,Meta: anarkali_badge_color,Meta: anarkali_product_extra_fatures,Meta: anarkali_custom_badge,Meta: anarkali_product_size_guide,Meta: anarkali_countdown_date,Meta: anarkali_countdown_text,Meta: anarkali_product_video_type,Meta: anarkali_product_video_source_type,Meta: anarkali_product_popup_video,Meta: anarkali_product_iframe_video,Meta: anarkali_product_video_preview,Meta: anarkali_product_video_on_shop,Meta: anarkali_tabs_title,Meta: anarkali_tabs_content,Meta: anarkali_product_header_type,Meta: anarkali_product_header_bgcolor,Meta: anarkali_product_header_menuitem_color,Meta: anarkali_product_header_menuitem_hvrcolor,Meta: anarkali_product_header_svgicon_color,Meta: anarkali_product_header_counter_bgcolor,Meta: anarkali_product_header_counter_color,Meta: anarkali_product_sticky_header_bgcolor,Meta: anarkali_product_sticky_header_menuitem_color,Meta: anarkali_product_sticky_header_menuitem_hvrcolor,Meta: anarkali_product_sticky_header_svgicon_color,Meta: anarkali_product_sticky_header_counter_bgcolor,Meta: anarkali_product_sticky_header_counter_color,Meta: _product_360_image_gallery
,variable,LW-91621,,Green Faux Georgette Designer Gown with Sequined Dupatta – Fully Flared Elegant Ready-to-Wear Set,1,0,visible,"Make a statement with this fully flared Faux Georgette gown featuring intricate embroidery and a designer V-neck. Paired with a matching dupatta embellished with rich sequins work, this 12-meter gown offers elegance, comfort, and a perfect blend of western and Indian fashion.","Step into elegance with this premium Faux Georgette gown-dupatta set, designed to combine traditional charm with modern style. The gown is crafted from high-quality Faux Georgette fabric and adorned with delicate embroidery, featuring a designer V-neck, full sleeves, and 12-meter flowing flair with 5-layer frill stitching.

The soft cotton full-length inner lining ensures all-day comfort, while the coordinating dupatta with rich sequins and embroidered work adds a graceful finishing touch. Ideal for weddings, parties, festive occasions, and cultural events, this ready-to-wear designer set perfectly balances style, comfort, and sophistication.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Wear,,,"https://imagizer.imageshack.com/img923/6361/XgqpZT.jpg, https://imagizer.imageshack.com/img923/7690/h2zbMx.jpg, https://imagizer.imageshack.com/img924/8866/DNZWE8.jpg, https://imagizer.imageshack.com/img922/8535/U0b2vI.jpg, https://imagizer.imageshack.com/img922/1157/e3e0T1.jpg, https://imagizer.imageshack.com/img922/49/CcLhbr.jpg, https://imagizer.imageshack.com/img924/4568/ut1wd7.jpg, https://imagizer.imageshack.com/img922/41/TyR6Qx.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LW-91622,,Purple Faux Georgette Designer Gown with Sequined Dupatta – Fully Flared Elegant Ready-to-Wear Set,1,0,visible,"Make a statement with this fully flared Faux Georgette gown featuring intricate embroidery and a designer V-neck. Paired with a matching dupatta embellished with rich sequins work, this 12-meter gown offers elegance, comfort, and a perfect blend of western and Indian fashion.","Step into elegance with this premium Faux Georgette gown-dupatta set, designed to combine traditional charm with modern style. The gown is crafted from high-quality Faux Georgette fabric and adorned with delicate embroidery, featuring a designer V-neck, full sleeves, and 12-meter flowing flair with 5-layer frill stitching.

The soft cotton full-length inner lining ensures all-day comfort, while the coordinating dupatta with rich sequins and embroidered work adds a graceful finishing touch. Ideal for weddings, parties, festive occasions, and cultural events, this ready-to-wear designer set perfectly balances style, comfort, and sophistication.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Wear,,,"https://imagizer.imageshack.com/img924/2206/xuaAtV.jpg, https://imagizer.imageshack.com/img924/4654/aJJxed.jpg, https://imagizer.imageshack.com/img922/9681/j1eZPB.jpg, https://imagizer.imageshack.com/img923/3883/IjeXCu.jpg, https://imagizer.imageshack.com/img922/813/CYYSs6.jpg, https://imagizer.imageshack.com/img924/5667/qNqZo6.jpg, https://imagizer.imageshack.com/img924/7475/Nf3POo.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LW-91623,,SKY Faux Georgette Designer Gown with Sequined Dupatta – Elegant Fully Flared Party & Wedding Set,1,0,visible,"Make a statement with this fully flared Faux Georgette gown featuring intricate embroidery and a designer V-neck. Paired with a matching dupatta embellished with rich sequins work, this 12-meter gown offers elegance, comfort, and a perfect blend of western and Indian fashion.","Step into elegance with this premium Faux Georgette gown-dupatta set, designed to combine traditional charm with modern style. The gown is crafted from high-quality Faux Georgette fabric and adorned with delicate embroidery, featuring a designer V-neck, full sleeves, and 12-meter flowing flair with 5-layer frill stitching.

The soft cotton full-length inner lining ensures all-day comfort, while the coordinating dupatta with rich sequins and embroidered work adds a graceful finishing touch. Ideal for weddings, parties, festive occasions, and cultural events, this ready-to-wear designer set perfectly balances style, comfort, and sophistication.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Wear,,,"https://imagizer.imageshack.com/img923/1280/ch53I0.jpg, https://imagizer.imageshack.com/img924/2931/c7O2Rr.jpg, https://imagizer.imageshack.com/img922/3670/MOupUX.jpg, https://imagizer.imageshack.com/img924/8918/fkmReS.jpg, https://imagizer.imageshack.com/img923/9561/MHYM98.jpg, https://imagizer.imageshack.com/img922/706/LucgJS.jpg, https://imagizer.imageshack.com/img923/5629/i0Wnti.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LW-91624,,Yellow Faux Georgette Designer Gown with Sequined Dupatta – Fully Flared Elegant Party & Wedding Set,1,0,visible,"Make a statement with this fully flared Faux Georgette gown featuring intricate embroidery and a designer V-neck. Paired with a matching dupatta embellished with rich sequins work, this 12-meter gown offers elegance, comfort, and a perfect blend of western and Indian fashion.","Step into elegance with this premium Faux Georgette gown-dupatta set, designed to combine traditional charm with modern style. The gown is crafted from high-quality Faux Georgette fabric and adorned with delicate embroidery, featuring a designer V-neck, full sleeves, and 12-meter flowing flair with 5-layer frill stitching.

The soft cotton full-length inner lining ensures all-day comfort, while the coordinating dupatta with rich sequins and embroidered work adds a graceful finishing touch. Ideal for weddings, parties, festive occasions, and cultural events, this ready-to-wear designer set perfectly balances style, comfort, and sophistication.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Wear,,,"https://imagizer.imageshack.com/img923/6044/KbGcJC.jpg, https://imagizer.imageshack.com/img922/5778/U0ZkWi.jpg, https://imagizer.imageshack.com/img924/1866/0TF4Tn.jpg, https://imagizer.imageshack.com/img923/8121/uvYTXl.jpg, https://imagizer.imageshack.com/img922/3379/1QRiho.jpg, https://imagizer.imageshack.com/img922/6451/srlsAx.jpg, https://imagizer.imageshack.com/img922/8832/AU8lmu.jpg, https://imagizer.imageshack.com/img922/4733/5nbPZN.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LW-91631,,Purple Faux Georgette Designer Gown with Russian Silk Sequined Dupatta – Elegant Fully Flared Party & Wedding Set,1,0,visible,"Glow with elegance in this fully flared Faux Georgette gown featuring delicate embroidery and multi-sequins work. Paired with a Russian silk dupatta adorned with sequins embroidery and lace patta, this designer set is perfect for weddings, parties, and festive occasions.","Step into sophistication with this premium Faux Georgette gown-dupatta set. Crafted from high-quality Faux Georgette fabric, the gown is adorned with intricate embroidery and multi-sequins detailing, featuring a round neck, full sleeves, and a 12-meter flowing flair with three-layer frill stitching.

The soft cotton full-length inner lining ensures comfort, while the matching Russian silk dupatta with designer sequins embroidery and lace patta adds a touch of glamour. Ideal for weddings, parties, festivals, and special events, this ready-to-wear designer set combines elegance, style, and comfort seamlessly.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Wear,,,"https://imagizer.imageshack.com/img923/2586/BF91b9.jpg, https://imagizer.imageshack.com/img924/4104/xa8Onh.jpg, https://imagizer.imageshack.com/img923/2923/rWg5np.jpg, https://imagizer.imageshack.com/img922/6931/08NYK3.jpg, https://imagizer.imageshack.com/img923/8834/SBcELn.jpg, https://imagizer.imageshack.com/img922/980/rqaPvR.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LW-91651,,Rani Faux Blooming Designer Gown with Sequined Dupatta – Elegant Fully Flared Party & Wedding Set,1,0,visible,"Glow with elegance in this fully flared Faux Georgette gown featuring delicate embroidery and multi-sequins work. Paired with a Russian silk dupatta adorned with sequins embroidery and lace patta, this designer set is perfect for weddings, parties, and festive occasions.","Step into sophistication with this premium Faux Georgette gown-dupatta set. Crafted from high-quality Faux Georgette fabric, the gown is adorned with intricate embroidery and multi-sequins detailing, featuring a round neck, full sleeves, and a 12-meter flowing flair with three-layer frill stitching.

The soft cotton full-length inner lining ensures comfort, while the matching Russian silk dupatta with designer sequins embroidery and lace patta adds a touch of glamour. Ideal for weddings, parties, festivals, and special events, this ready-to-wear designer set combines elegance, style, and comfort seamlessly.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Wear,,,"https://imagizer.imageshack.com/img923/2897/Lvm1Ys.jpg, https://imagizer.imageshack.com/img922/4663/GnYc9W.jpg, https://imagizer.imageshack.com/img922/9704/ecuDaC.jpg, https://imagizer.imageshack.com/img924/6763/e2GceE.jpg, https://imagizer.imageshack.com/img922/6818/uxYL2K.jpg, https://imagizer.imageshack.com/img923/1209/JKhBKF.jpg, https://imagizer.imageshack.com/img924/3114/1NN23S.jpg, https://imagizer.imageshack.com/img923/778/xrqhDm.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LW-91652,,Wine Faux Blooming Designer Gown with Sequined Dupatta – Elegant Fully Flared Party & Wedding Set,1,0,visible,"Glow with elegance in this fully flared Faux Georgette gown featuring delicate embroidery and multi-sequins work. Paired with a Russian silk dupatta adorned with sequins embroidery and lace patta, this designer set is perfect for weddings, parties, and festive occasions.","Step into sophistication with this premium Faux Georgette gown-dupatta set. Crafted from high-quality Faux Georgette fabric, the gown is adorned with intricate embroidery and multi-sequins detailing, featuring a round neck, full sleeves, and a 12-meter flowing flair with three-layer frill stitching.

The soft cotton full-length inner lining ensures comfort, while the matching Russian silk dupatta with designer sequins embroidery and lace patta adds a touch of glamour. Ideal for weddings, parties, festivals, and special events, this ready-to-wear designer set combines elegance, style, and comfort seamlessly.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Wear,,,"https://imagizer.imageshack.com/img922/4287/byPmPp.jpg, https://imagizer.imageshack.com/img922/9983/G99CdL.jpg, https://imagizer.imageshack.com/img924/5199/rNt6H2.jpg, https://imagizer.imageshack.com/img924/5891/Jvqtf2.jpg, https://imagizer.imageshack.com/img924/800/5bgo8r.jpg, https://imagizer.imageshack.com/img922/4175/RYDst4.jpg, https://imagizer.imageshack.com/img924/6342/Z3Ug80.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LW-91661,,Maroon Faux Blooming Gown with Sequined Dupatta – Elegant Fully Flared Party & Wedding Set,1,0,visible,"Make a statement in this Faux Blooming gown featuring multi-sequins embroidery and a flattering V-neck. Paired with a matching dupatta with designer lace border and sequins work, this 3.5-meter flared gown is perfect for weddings, parties, and festive occasions.","Elevate your festive and party wardrobe with this premium Faux Blooming gown-dupatta set. Crafted from high-quality Faux Blooming fabric, the gown is adorned with intricate multi-sequins embroidery, featuring a flattering V-neck, full sleeves, and 3.5-meter flowing flair with standard stitching.

The soft cotton full-length inner lining ensures comfort throughout the day, while the coordinating dupatta with sequins embroidery and designer lace border adds a sophisticated finishing touch. Ideal for weddings, parties, festivals, and special events, this ready-to-wear designer set perfectly blends elegance, style, and comfort.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Wear,,,"https://imagizer.imageshack.com/img922/6296/pz1V5l.jpg, https://imagizer.imageshack.com/img924/681/kPPPhB.jpg, https://imagizer.imageshack.com/img923/5230/25xBL0.jpg, https://imagizer.imageshack.com/img922/3948/lr0qyu.jpg, https://imagizer.imageshack.com/img924/812/CVtAgm.jpg, https://imagizer.imageshack.com/img922/9245/lR7fm5.jpg, https://imagizer.imageshack.com/img923/5056/u17xaS.jpg, https://imagizer.imageshack.com/img923/9192/Efgc3S.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LW-91662,,Pink Faux Blooming Gown with Sequined Dupatta – Elegant Fully Flared Party & Wedding Set,1,0,visible,"Make a statement in this Faux Blooming gown featuring multi-sequins embroidery and a flattering V-neck. Paired with a matching dupatta with designer lace border and sequins work, this 3.5-meter flared gown is perfect for weddings, parties, and festive occasions.","Elevate your festive and party wardrobe with this premium Faux Blooming gown-dupatta set. Crafted from high-quality Faux Blooming fabric, the gown is adorned with intricate multi-sequins embroidery, featuring a flattering V-neck, full sleeves, and 3.5-meter flowing flair with standard stitching.

The soft cotton full-length inner lining ensures comfort throughout the day, while the coordinating dupatta with sequins embroidery and designer lace border adds a sophisticated finishing touch. Ideal for weddings, parties, festivals, and special events, this ready-to-wear designer set perfectly blends elegance, style, and comfort.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Wear,,,"https://imagizer.imageshack.com/img922/6311/QSLC05.jpg, https://imagizer.imageshack.com/img923/8509/k1D2ny.jpg, https://imagizer.imageshack.com/img924/787/9xWqKY.jpg, https://imagizer.imageshack.com/img922/7412/yPy8zT.jpg, https://imagizer.imageshack.com/img922/1442/B65Mlq.jpg, https://imagizer.imageshack.com/img924/5276/n2mnYs.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LW-91663,,Purple Faux Blooming Gown with Sequined Dupatta – Elegant Fully Flared Party & Wedding Set,1,0,visible,"Make a statement in this Faux Blooming gown featuring multi-sequins embroidery and a flattering V-neck. Paired with a matching dupatta with designer lace border and sequins work, this 3.5-meter flared gown is perfect for weddings, parties, and festive occasions.","Elevate your festive and party wardrobe with this premium Faux Blooming gown-dupatta set. Crafted from high-quality Faux Blooming fabric, the gown is adorned with intricate multi-sequins embroidery, featuring a flattering V-neck, full sleeves, and 3.5-meter flowing flair with standard stitching.

The soft cotton full-length inner lining ensures comfort throughout the day, while the coordinating dupatta with sequins embroidery and designer lace border adds a sophisticated finishing touch. Ideal for weddings, parties, festivals, and special events, this ready-to-wear designer set perfectly blends elegance, style, and comfort.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Wear,,,"https://imagizer.imageshack.com/img924/4163/1btoJW.jpg, https://imagizer.imageshack.com/img924/9421/tmeBS0.jpg, https://imagizer.imageshack.com/img924/5042/vOWaKo.jpg, https://imagizer.imageshack.com/img924/2/GwJ7r6.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
