ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wp_page_template,Meta: anarkali_loop_product_slider_speed,Meta: anarkali_showcase_type,Meta: anarkali_showcase_bg_type,Meta: anarkali_showcase_custom_bgcolor,Meta: anarkali_showcase_custom_textcolor,Meta: anarkali_badge_color,Meta: anarkali_product_extra_fatures,Meta: anarkali_custom_badge,Meta: anarkali_product_size_guide,Meta: anarkali_countdown_date,Meta: anarkali_countdown_text,Meta: anarkali_product_video_type,Meta: anarkali_product_video_source_type,Meta: anarkali_product_popup_video,Meta: anarkali_product_iframe_video,Meta: anarkali_product_video_preview,Meta: anarkali_product_video_on_shop,Meta: anarkali_tabs_title,Meta: anarkali_tabs_content,Meta: anarkali_product_header_type,Meta: anarkali_product_header_bgcolor,Meta: anarkali_product_header_menuitem_color,Meta: anarkali_product_header_menuitem_hvrcolor,Meta: anarkali_product_header_svgicon_color,Meta: anarkali_product_header_counter_bgcolor,Meta: anarkali_product_header_counter_color,Meta: anarkali_product_sticky_header_bgcolor,Meta: anarkali_product_sticky_header_menuitem_color,Meta: anarkali_product_sticky_header_menuitem_hvrcolor,Meta: anarkali_product_sticky_header_svgicon_color,Meta: anarkali_product_sticky_header_counter_bgcolor,Meta: anarkali_product_sticky_header_counter_color,Meta: _product_360_image_gallery
,variable,LW-92161,,Maroon Faux Blooming Georgette Sequins Embroidered Gown with Matching Dupatta,1,0,visible,"Shine at any celebration with this Faux Blooming Georgette gown featuring rich sequins embroidery and a fancy V-neck, paired with a matching dupatta adorned with lace and embroidery. Perfect for weddings, parties, and festive occasions.","Make a grand entrance in this stunning gown set crafted from premium Faux Blooming Georgette. The gown is intricately embellished with sequins embroidery and designed with full sleeves, a fancy V-neckline, and a 3.5-meter flair for a graceful, flowy silhouette. The full-length cotton lining ensures comfort from top to bottom.

Completing the ensemble is a matching 2.3-meter Faux Blooming Georgette dupatta, adorned with lace and embroidered detailing, adding a touch of elegance and sophistication.

Ideal for weddings, parties, and festive events, this gown-with-dupatta set blends glamour, comfort, and traditional charm in one exquisite outfit.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Wear,,,"https://imagizer.imageshack.com/img922/3690/k1JCha.jpg, https://imagizer.imageshack.com/img922/3522/GaliVi.jpg, https://imagizer.imageshack.com/img924/6516/SnM8fE.jpg, https://imagizer.imageshack.com/img922/7109/4gn0og.jpg, https://imagizer.imageshack.com/img922/4940/STQlQp.jpg, https://imagizer.imageshack.com/img922/4291/cu429X.jpg, https://imagizer.imageshack.com/img923/8973/LEV5Q1.jpg, https://imagizer.imageshack.com/img923/8775/NIL7q0.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LW-92162,,Pink Faux Blooming Georgette Sequins Embroidered Gown with Matching Dupatta,1,0,visible,"Shine at any celebration with this Faux Blooming Georgette gown featuring rich sequins embroidery and a fancy V-neck, paired with a matching dupatta adorned with lace and embroidery. Perfect for weddings, parties, and festive occasions.","Make a grand entrance in this stunning gown set crafted from premium Faux Blooming Georgette. The gown is intricately embellished with sequins embroidery and designed with full sleeves, a fancy V-neckline, and a 3.5-meter flair for a graceful, flowy silhouette. The full-length cotton lining ensures comfort from top to bottom.

Completing the ensemble is a matching 2.3-meter Faux Blooming Georgette dupatta, adorned with lace and embroidered detailing, adding a touch of elegance and sophistication.

Ideal for weddings, parties, and festive events, this gown-with-dupatta set blends glamour, comfort, and traditional charm in one exquisite outfit.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Wear,,,"https://imagizer.imageshack.com/img924/3866/NtZvtu.jpg, https://imagizer.imageshack.com/img922/7405/q0EbHX.jpg, https://imagizer.imageshack.com/img923/7463/xPwSCQ.jpg, https://imagizer.imageshack.com/img923/6745/Jkpktr.jpg, https://imagizer.imageshack.com/img923/5263/YrSzWX.jpg, https://imagizer.imageshack.com/img922/6783/IB4DJa.jpg, https://imagizer.imageshack.com/img923/9518/8fo8Ap.jpg, https://imagizer.imageshack.com/img922/3835/ev7mWW.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LW-92181,,Pink Faux Blooming Georgette Sequins Embroidered Gown with Matching Dupatta,1,0,visible,"Step into elegance with this Faux Blooming Georgette gown featuring rich sequins embroidery and a stylish round neckline, paired with a matching dupatta adorned with lace and embroidery. Perfect for weddings, parties, and festive celebrations.","Make a statement at any celebration with this stunning gown set crafted from premium Faux Blooming Georgette. The gown features intricate sequins embroidery, full sleeves, a round neckline, and a 3.5-meter flair for a graceful and flowing silhouette. The full-length cotton lining ensures comfort throughout the event.

The ensemble is completed with a matching 2.3-meter Faux Blooming Georgette dupatta, decorated with lace and embroidery, adding a refined and festive touch to the outfit.

Perfect for weddings, parties, and festive occasions, this gown-with-dupatta set combines style, elegance, and comfort in one exquisite ensemble.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Wear,,,"https://imagizer.imageshack.com/img924/821/dEyWZV.jpg, https://imagizer.imageshack.com/img922/7033/3tgBfj.jpg, https://imagizer.imageshack.com/img924/5716/5lSr2V.jpg, https://imagizer.imageshack.com/img924/654/lLrTCR.jpg, https://imagizer.imageshack.com/img924/739/XERjui.jpg, https://imagizer.imageshack.com/img923/4107/wUfpEe.jpg, https://imagizer.imageshack.com/img923/4175/hOFUiG.jpg, https://imagizer.imageshack.com/img922/5192/lVFKj2.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LW-92182,,Wine Faux Blooming Georgette Sequins Embroidered Gown with Matching Dupatta,1,0,visible,"Shine effortlessly in this Faux Blooming Georgette gown with rich sequins embroidery and full sleeves, paired with a matching dupatta featuring lace and embroidery. Perfect for festive occasions, parties, and weddings.","Elevate your festive wardrobe with this exquisite gown set crafted from premium Faux Blooming Georgette. The gown features intricate sequins embroidery, full sleeves, a flattering round neckline, and a 3.5-meter flair, creating a graceful and flowing silhouette. The full-length cotton lining ensures comfort from top to bottom.

The matching 2.3-meter dupatta is adorned with attractive lace and embroidered detailing, completing the look with elegance and charm.

Ideal for weddings, parties, and festive events, this gown-with-dupatta set blends glamour, comfort, and sophistication into one stunning ensemble.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Wear,,,"https://imagizer.imageshack.com/img922/3404/pZXRWm.jpg, https://imagizer.imageshack.com/img922/8831/Avpnrs.jpg, https://imagizer.imageshack.com/img924/3815/5uGs2W.jpg, https://imagizer.imageshack.com/img923/3932/SIyLdM.jpg, https://imagizer.imageshack.com/img924/7250/0fmyw1.jpg, https://imagizer.imageshack.com/img924/1772/6DLOiO.jpg, https://imagizer.imageshack.com/img923/9462/86kwLv.jpg, https://imagizer.imageshack.com/img922/5250/BIzY6o.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LW-92191,,Maroon Faux Blooming Gown with Zari & Sequins Embroidered Dupatta with Designer Lace Border,1,0,visible,"Shine at every festive occasion with this Faux Blooming gown featuring elegant Zari and sequins embroidery, paired with a matching dupatta adorned with a designer lace border. Perfect for weddings, parties, and celebrations.","Elevate your style with this premium designer gown set crafted from luxurious Faux Blooming fabric. The gown features intricate Zari and sequins embroidery, full sleeves, a round neckline, and a 3.5-meter flair, providing a graceful and flowing silhouette. The full-length cotton lining ensures comfort from top to bottom.

The ensemble includes a 2.25-meter matching dupatta, decorated with sequins embroidery and a designer lace border, adding a touch of sophistication and elegance to your look.

Ideal for weddings, parties, and festive events, this gown-with-dupatta set combines glamour, comfort, and high-quality craftsmanship in one stunning outfit.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Wear,,,"https://imagizer.imageshack.com/img924/1325/eVHs7R.jpg, https://imagizer.imageshack.com/img923/2130/cQWuzC.jpg, https://imagizer.imageshack.com/img924/8638/baquos.jpg, https://imagizer.imageshack.com/img924/9237/PGEfVk.jpg, https://imagizer.imageshack.com/img923/7364/KIUZTv.jpg, https://imagizer.imageshack.com/img924/2585/h7YXzd.jpg, https://imagizer.imageshack.com/img922/2654/G6fTe7.jpg, https://imagizer.imageshack.com/img924/94/wW6Wmb.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LW-92192,,Pink Faux Blooming Gown with Zari & Sequins Embroidered Dupatta with Designer Lace Border,1,0,visible,"Shine at every festive occasion with this Faux Blooming gown featuring elegant Zari and sequins embroidery, paired with a matching dupatta adorned with a designer lace border. Perfect for weddings, parties, and celebrations.","Elevate your style with this premium designer gown set crafted from luxurious Faux Blooming fabric. The gown features intricate Zari and sequins embroidery, full sleeves, a round neckline, and a 3.5-meter flair, providing a graceful and flowing silhouette. The full-length cotton lining ensures comfort from top to bottom.

The ensemble includes a 2.25-meter matching dupatta, decorated with sequins embroidery and a designer lace border, adding a touch of sophistication and elegance to your look.

Ideal for weddings, parties, and festive events, this gown-with-dupatta set combines glamour, comfort, and high-quality craftsmanship in one stunning outfit.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Wear,,,"https://imagizer.imageshack.com/img922/6098/v7KbAQ.jpg, https://imagizer.imageshack.com/img924/88/BqKuPS.jpg, https://imagizer.imageshack.com/img924/66/ei4mSn.jpg, https://imagizer.imageshack.com/img922/8860/gpWu8n.jpg, https://imagizer.imageshack.com/img922/5915/02QaNX.jpg, https://imagizer.imageshack.com/img922/7555/WouI7p.jpg, https://imagizer.imageshack.com/img924/9024/Kfq8R4.jpg, https://imagizer.imageshack.com/img922/8857/Z5dite.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LW-92193,,Purple Faux Blooming Gown with Zari & Sequins Embroidered Dupatta with Designer Lace Border,1,0,visible,"Shine at every festive occasion with this Faux Blooming gown featuring elegant Zari and sequins embroidery, paired with a matching dupatta adorned with a designer lace border. Perfect for weddings, parties, and celebrations.","Elevate your style with this premium designer gown set crafted from luxurious Faux Blooming fabric. The gown features intricate Zari and sequins embroidery, full sleeves, a round neckline, and a 3.5-meter flair, providing a graceful and flowing silhouette. The full-length cotton lining ensures comfort from top to bottom.

The ensemble includes a 2.25-meter matching dupatta, decorated with sequins embroidery and a designer lace border, adding a touch of sophistication and elegance to your look.

Ideal for weddings, parties, and festive events, this gown-with-dupatta set combines glamour, comfort, and high-quality craftsmanship in one stunning outfit.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Wear,,,"https://imagizer.imageshack.com/img922/8716/nevJxC.jpg, https://imagizer.imageshack.com/img922/4374/XancEE.jpg, https://imagizer.imageshack.com/img922/6246/8yZdBY.jpg, https://imagizer.imageshack.com/img923/1015/6fibug.jpg, https://imagizer.imageshack.com/img924/1909/ODxjkM.jpg, https://imagizer.imageshack.com/img923/713/G6dYga.jpg, https://imagizer.imageshack.com/img924/8656/aHmdEQ.jpg, https://imagizer.imageshack.com/img924/5281/UHnsnN.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LW-92201,,Maroon Faux Blooming Gown with Sequins & Beads Embroidered Dupatta,1,0,visible,"Step out in elegance with this Faux Blooming gown adorned with sequins and beads embroidery, paired with a matching dupatta featuring a rich embroidered lace border. Perfect for weddings, parties, and festive occasions.","Make a stunning statement in this premium ready-made gown set crafted from luxurious Faux Blooming fabric. The gown is adorned with intricate sequins and beads embroidery, featuring a fancy neckline, full sleeves, and a 3.5-meter flare for a graceful and flowing silhouette. The full-length cotton lining ensures comfort from top to bottom.

Completing the ensemble is a matching 2.3-meter Faux Blooming Georgette dupatta with rich sequins and embroidered lace border, adding elegance and charm to your festive look.

Ideal for weddings, parties, and festive events, this gown-with-dupatta set blends glamour, comfort, and style in one exquisite outfit.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Wear,,,"https://imagizer.imageshack.com/img924/1084/OOYUXr.jpg, https://imagizer.imageshack.com/img922/199/HGihiB.jpg, https://imagizer.imageshack.com/img924/617/eM6V8y.jpg, https://imagizer.imageshack.com/img922/2900/aAVIxQ.jpg, https://imagizer.imageshack.com/img922/4495/PzuDWr.jpg, https://imagizer.imageshack.com/img922/315/adfqQU.jpg, https://imagizer.imageshack.com/img922/6070/NKWj9a.jpg, https://imagizer.imageshack.com/img923/1637/asnGHt.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LW-92202,,Purple Faux Blooming Gown with Sequins & Beads Embroidered Dupatta,1,0,visible,"Step out in elegance with this Faux Blooming gown adorned with sequins and beads embroidery, paired with a matching dupatta featuring a rich embroidered lace border. Perfect for weddings, parties, and festive occasions.","Make a stunning statement in this premium ready-made gown set crafted from luxurious Faux Blooming fabric. The gown is adorned with intricate sequins and beads embroidery, featuring a fancy neckline, full sleeves, and a 3.5-meter flare for a graceful and flowing silhouette. The full-length cotton lining ensures comfort from top to bottom.

Completing the ensemble is a matching 2.3-meter Faux Blooming Georgette dupatta with rich sequins and embroidered lace border, adding elegance and charm to your festive look.

Ideal for weddings, parties, and festive events, this gown-with-dupatta set blends glamour, comfort, and style in one exquisite outfit.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Wear,,,"https://imagizer.imageshack.com/img923/1766/GNJjYk.jpg, https://imagizer.imageshack.com/img922/6761/Nfy36y.jpg, https://imagizer.imageshack.com/img924/5039/d56yWX.jpg, https://imagizer.imageshack.com/img924/8352/MfLR7k.jpg, https://imagizer.imageshack.com/img924/6376/ksYjTM.jpg, https://imagizer.imageshack.com/img923/4147/nD7up8.jpg, https://imagizer.imageshack.com/img924/7812/okeb34.jpg, https://imagizer.imageshack.com/img922/6605/RnJl5E.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LW-92211,,Pink Faux Blooming Georgette Gown with Pearl-Embroidered Dupatta,1,0,visible,"Step out in elegance with this Faux Blooming gown adorned with sequins and beads embroidery, paired with a matching dupatta featuring a rich embroidered lace border. Perfect for weddings, parties, and festive occasions.","Radiate elegance with this Faux Blooming Georgette gown featuring delicate pearl embroidery, full sleeves, and a 12-meter flair, paired with a matching dupatta adorned with the same pearl work. Perfect for weddings, parties, and festive celebrations.","Step into any festive occasion with grace and style in this premium ready-made gown set crafted from luxurious Faux Blooming Georgette. The gown is beautifully embellished with pearl embroidery, featuring full sleeves, a round neckline, and a 12-meter flair for a flowing, elegant silhouette. The full-length cotton lining ensures comfort from top to bottom.

Completing the ensemble is a 2.25-meter matching dupatta with exquisite pearl embroidery, adding a refined and sophisticated touch to your look.

Ideal for weddings, parties, and festive events, this gown-with-dupatta set combines glamour, elegance, and comfort in one stunning outfit.",,taxable,,1,,,0,0,,,,,1,,,,Women's Wear,,,"https://imagizer.imageshack.com/img924/8374/ev9hVJ.jpg, https://imagizer.imageshack.com/img924/7387/2ABVlK.jpg, https://imagizer.imageshack.com/img923/5411/PwoJy4.jpg, https://imagizer.imageshack.com/img923/951/1awG1c.jpg, https://imagizer.imageshack.com/img924/4983/nFpXPy.jpg, https://imagizer.imageshack.com/img922/7278/dAFpPm.jpg, https://imagizer.imageshack.com/img922/7223/9cxFbk.jpg, https://imagizer.imageshack.com/img923/342/P8aWce.jpg",,,,,,,,,0,,,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
