ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wp_page_template,Meta: anarkali_loop_product_slider_speed,Meta: anarkali_showcase_type,Meta: anarkali_showcase_bg_type,Meta: anarkali_showcase_custom_bgcolor,Meta: anarkali_showcase_custom_textcolor,Meta: anarkali_badge_color,Meta: anarkali_product_extra_fatures,Meta: anarkali_custom_badge,Meta: anarkali_product_size_guide,Meta: anarkali_countdown_date,Meta: anarkali_countdown_text,Meta: anarkali_product_video_type,Meta: anarkali_product_video_source_type,Meta: anarkali_product_popup_video,Meta: anarkali_product_iframe_video,Meta: anarkali_product_video_preview,Meta: anarkali_product_video_on_shop,Meta: anarkali_tabs_title,Meta: anarkali_tabs_content,Meta: anarkali_product_header_type,Meta: anarkali_product_header_bgcolor,Meta: anarkali_product_header_menuitem_color,Meta: anarkali_product_header_menuitem_hvrcolor,Meta: anarkali_product_header_svgicon_color,Meta: anarkali_product_header_counter_bgcolor,Meta: anarkali_product_header_counter_color,Meta: anarkali_product_sticky_header_bgcolor,Meta: anarkali_product_sticky_header_menuitem_color,Meta: anarkali_product_sticky_header_menuitem_hvrcolor,Meta: anarkali_product_sticky_header_svgicon_color,Meta: anarkali_product_sticky_header_counter_bgcolor,Meta: anarkali_product_sticky_header_counter_color,Meta: _product_360_image_gallery
,variable,LKF-1,," Women's Cotton Tie Dye Print Lace Trim, V-Neck, Full Length, Beach Casual Wear, Spring Collection Kaftan ( Green White )",1,0,visible,"Effortless elegance meets everyday comfort with our premium women’s cotton collection. From chic co-ords to flowy kaftans and timeless dresses, each piece is designed to keep you stylish, breathable, and comfortable—no matter the occasion.","Stay stylish and comfortable all day long with our exclusive women’s cotton collection. Designed with premium quality cotton fabric, our outfits are breathable, lightweight, and soft on the skin—perfect for everyday wear and special occasions.

From elegant one-piece dresses to trendy co-ord sets, flowy kaftans, classic shirt with pant sets, and chic top with palazzo, every outfit is crafted to give you effortless style with maximum comfort.",,,taxable,,1,,,0,0,,,,,1,,,,Kaftan Drees,,,"https://imagizer.imageshack.com/img923/4003/lSXIBS.jpg, https://imagizer.imageshack.com/img924/6334/qjhr0s.jpg, https://imagizer.imageshack.com/img924/9587/AqFCA0.jpg, https://imagizer.imageshack.com/img924/6743/42thyn.jpg, https://imagizer.imageshack.com/img922/2307/nltwEy.jpg, https://imagizer.imageshack.com/img922/1926/1TEkgY.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LKF-2,," Women's Cotton Tie Dye Print Full Length Kaftan Drees Beach Cover Up, Spring Casual Wear ( Brown )",1,0,visible,"Effortless elegance meets everyday comfort with our premium women’s cotton collection. From chic co-ords to flowy kaftans and timeless dresses, each piece is designed to keep you stylish, breathable, and comfortable—no matter the occasion.","Stay stylish and comfortable all day long with our exclusive women’s cotton collection. Designed with premium quality cotton fabric, our outfits are breathable, lightweight, and soft on the skin—perfect for everyday wear and special occasions.

From elegant one-piece dresses to trendy co-ord sets, flowy kaftans, classic shirt with pant sets, and chic top with palazzo, every outfit is crafted to give you effortless style with maximum comfort.",,,taxable,,1,,,0,0,,,,,1,,,,Kaftan Drees,,,"https://imagizer.imageshack.com/img923/5941/SxomIf.jpg, https://imagizer.imageshack.com/img922/4354/l0qzMj.jpg, https://imagizer.imageshack.com/img924/6927/0ElWyg.jpg, https://imagizer.imageshack.com/img924/1662/F4IRKQ.jpg, https://imagizer.imageshack.com/img924/3514/uKMMtI.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LKF-3,, Women's Cotton Tie Dye Print Flowing Bell Sleeves Full Length Kaftan Drees Casual Beach Wear ( Turquoise Yellow ),1,0,visible,"Effortless elegance meets everyday comfort with our premium women’s cotton collection. From chic co-ords to flowy kaftans and timeless dresses, each piece is designed to keep you stylish, breathable, and comfortable—no matter the occasion.","Stay stylish and comfortable all day long with our exclusive women’s cotton collection. Designed with premium quality cotton fabric, our outfits are breathable, lightweight, and soft on the skin—perfect for everyday wear and special occasions.

From elegant one-piece dresses to trendy co-ord sets, flowy kaftans, classic shirt with pant sets, and chic top with palazzo, every outfit is crafted to give you effortless style with maximum comfort.",,,taxable,,1,,,0,0,,,,,1,,,,Kaftan Drees,,,"https://imagizer.imageshack.com/img922/2207/Wz8yVP.jpg, https://imagizer.imageshack.com/img923/7827/7Oa1T5.jpg, https://imagizer.imageshack.com/img923/3304/sqXHv8.jpg, https://imagizer.imageshack.com/img922/562/WBamCW.jpg, https://imagizer.imageshack.com/img924/2394/PmZNh4.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LKF-4,, Women's Cotton Tie Dye Print Flowing Bell Sleeves Full Length Kaftan Drees Casual Beach Wear ( Green ),1,0,visible,"Effortless elegance meets everyday comfort with our premium women’s cotton collection. From chic co-ords to flowy kaftans and timeless dresses, each piece is designed to keep you stylish, breathable, and comfortable—no matter the occasion.","Stay stylish and comfortable all day long with our exclusive women’s cotton collection. Designed with premium quality cotton fabric, our outfits are breathable, lightweight, and soft on the skin—perfect for everyday wear and special occasions.

From elegant one-piece dresses to trendy co-ord sets, flowy kaftans, classic shirt with pant sets, and chic top with palazzo, every outfit is crafted to give you effortless style with maximum comfort.",,,taxable,,1,,,0,0,,,,,1,,,,Kaftan Drees,,,"https://imagizer.imageshack.com/img922/4161/Cbc5NY.jpg, https://imagizer.imageshack.com/img923/2047/IJmBry.jpg, https://imagizer.imageshack.com/img924/4488/3R1w9w.jpg, https://imagizer.imageshack.com/img922/8904/NPxnNp.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LKF-5,, Women's Cotton Tie Dye Print Flowing Bell Sleeves Full Length Kaftan Drees Casual Beach Wear ( Multicolor ),1,0,visible,"Effortless elegance meets everyday comfort with our premium women’s cotton collection. From chic co-ords to flowy kaftans and timeless dresses, each piece is designed to keep you stylish, breathable, and comfortable—no matter the occasion.","Stay stylish and comfortable all day long with our exclusive women’s cotton collection. Designed with premium quality cotton fabric, our outfits are breathable, lightweight, and soft on the skin—perfect for everyday wear and special occasions.

From elegant one-piece dresses to trendy co-ord sets, flowy kaftans, classic shirt with pant sets, and chic top with palazzo, every outfit is crafted to give you effortless style with maximum comfort.",,,taxable,,1,,,0,0,,,,,1,,,,Kaftan Drees,,,"https://imagizer.imageshack.com/img923/7941/9WxrHQ.jpg, https://imagizer.imageshack.com/img922/3930/vYiUjy.jpg, https://imagizer.imageshack.com/img924/4205/RJw6Gv.jpg, https://imagizer.imageshack.com/img923/4672/6RM6iz.jpg, https://imagizer.imageshack.com/img923/8459/eBwaRV.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LKF-6,, Women's Cotton Tie Dye Print Flowing Bell Sleeves Full Length Kaftan Drees Casual Beach Wear ( Multicolor1 ),1,0,visible,"Effortless elegance meets everyday comfort with our premium women’s cotton collection. From chic co-ords to flowy kaftans and timeless dresses, each piece is designed to keep you stylish, breathable, and comfortable—no matter the occasion.","Stay stylish and comfortable all day long with our exclusive women’s cotton collection. Designed with premium quality cotton fabric, our outfits are breathable, lightweight, and soft on the skin—perfect for everyday wear and special occasions.

From elegant one-piece dresses to trendy co-ord sets, flowy kaftans, classic shirt with pant sets, and chic top with palazzo, every outfit is crafted to give you effortless style with maximum comfort.",,,taxable,,1,,,0,0,,,,,1,,,,Kaftan Drees,,,"https://imagizer.imageshack.com/img924/5388/cDduPd.jpg, https://imagizer.imageshack.com/img924/3682/Ubgdrj.jpg, https://imagizer.imageshack.com/img924/9538/L6cMPP.jpg, https://imagizer.imageshack.com/img922/7214/86SQSi.jpg, https://imagizer.imageshack.com/img922/9095/fLyg0y.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,LKF-7,, Women's Cotton Tie Dye Print Flowing Bell Sleeves Full Length Kaftan Drees Casual Beach Wear ( Green White ),1,0,visible,"Effortless elegance meets everyday comfort with our premium women’s cotton collection. From chic co-ords to flowy kaftans and timeless dresses, each piece is designed to keep you stylish, breathable, and comfortable—no matter the occasion.","Stay stylish and comfortable all day long with our exclusive women’s cotton collection. Designed with premium quality cotton fabric, our outfits are breathable, lightweight, and soft on the skin—perfect for everyday wear and special occasions.

From elegant one-piece dresses to trendy co-ord sets, flowy kaftans, classic shirt with pant sets, and chic top with palazzo, every outfit is crafted to give you effortless style with maximum comfort.",,,taxable,,1,,,0,0,,,,,1,,,,Kaftan Drees,,,"https://imagizer.imageshack.com/img923/8682/d1rrbX.jpg, https://imagizer.imageshack.com/img924/1498/FMS5dv.jpg, https://imagizer.imageshack.com/img922/7845/6ZNmcE.jpg, https://imagizer.imageshack.com/img924/651/89GJsC.jpg, https://imagizer.imageshack.com/img923/4689/Wn3yK8.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,LKF-1-M,," Women's Cotton Tie Dye Print Lace Trim, V-Neck, Full Length, Beach Casual Wear, Spring Collection Kaftan ( Green White-M )",1,0,visible,,,,,taxable,parent,1,1000,,0,0,,,,,0,,1050,2100,,,,https://imagizer.imageshack.com/img923/4003/lSXIBS.jpg,,,LKF-1,,,,,,1,,,size,M ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,LKF-1-L,," Women's Cotton Tie Dye Print Lace Trim, V-Neck, Full Length, Beach Casual Wear, Spring Collection Kaftan ( Green White-L )",1,0,visible,,,,,taxable,parent,1,1000,,0,0,,,,,0,,1050,2100,,,,https://imagizer.imageshack.com/img923/4003/lSXIBS.jpg,,,LKF-1,,,,,,2,,,size,L,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,LKF-1-XL,," Women's Cotton Tie Dye Print Lace Trim, V-Neck, Full Length, Beach Casual Wear, Spring Collection Kaftan ( Green White-XL )",1,0,visible,,,,,taxable,parent,1,1000,,0,0,,,,,0,,1050,2100,,,,https://imagizer.imageshack.com/img923/4003/lSXIBS.jpg,,,LKF-1,,,,,,3,,,size,XL,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
