ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes,Brands,Meta: _wp_page_template,Meta: anarkali_loop_product_slider_speed,Meta: anarkali_showcase_type,Meta: anarkali_showcase_bg_type,Meta: anarkali_showcase_custom_bgcolor,Meta: anarkali_showcase_custom_textcolor,Meta: anarkali_badge_color,Meta: anarkali_product_extra_fatures,Meta: anarkali_custom_badge,Meta: anarkali_product_size_guide,Meta: anarkali_countdown_date,Meta: anarkali_countdown_text,Meta: anarkali_product_video_type,Meta: anarkali_product_video_source_type,Meta: anarkali_product_popup_video,Meta: anarkali_product_iframe_video,Meta: anarkali_product_video_preview,Meta: anarkali_product_video_on_shop,Meta: anarkali_tabs_title,Meta: anarkali_tabs_content,Meta: anarkali_product_header_type,Meta: anarkali_product_header_bgcolor,Meta: anarkali_product_header_menuitem_color,Meta: anarkali_product_header_menuitem_hvrcolor,Meta: anarkali_product_header_svgicon_color,Meta: anarkali_product_header_counter_bgcolor,Meta: anarkali_product_header_counter_color,Meta: anarkali_product_sticky_header_bgcolor,Meta: anarkali_product_sticky_header_menuitem_color,Meta: anarkali_product_sticky_header_menuitem_hvrcolor,Meta: anarkali_product_sticky_header_svgicon_color,Meta: anarkali_product_sticky_header_counter_bgcolor,Meta: anarkali_product_sticky_header_counter_color,Meta: _product_360_image_gallery
,simple,NAZAKAT PED,,Jaipuri Floral Printed 100% Pure Cotton Double Bedsheet With Two Pillow Cover (Blue),1,0,visible,"royal touch to your bedroom with this Rajasthani Jaipuri Sanganeri Bedsheet. Crafted from soft cotton, it features vibrant hand block prints inspired by Jaipur’s rich heritage. Comfortable, durable, and beautifully designed — this bedsheet comes with 2 matching pillow covers to complete the elegant look.
•	Includes: 1 Double Bedsheet + 2 Pillow Covers
•	Fabric: 100% Cotton
","Bring home the vibrant charm of Rajasthan with this beautifully handcrafted Rajasthani Jaipuri Bedsheet. Made with premium-quality cotton, this bedsheet showcases intricate Sanganeri block prints inspired by the royal heritage of Jaipur. Its soft and breathable fabric ensures maximum comfort, while the colorful motifs add a touch of traditional elegance to your bedroom décor.
This bedsheet is not just a bedding essential — it’s a piece of art that reflects India’s rich craftsmanship. Perfect for daily use or festive occasions, it effortlessly combines comfort, culture, and class.
Key Features:
•	Made from 100% soft and breathable cotton
•	Authentic Jaipuri Sanganeri hand block print design
•	Vibrant, long-lasting colors that won’t fade easily
•	Includes 1 double bedsheet and 2 matching pillow covers
•	Easy to wash and maintain",,,taxable,,1,1000,,0,0,,,,,1,,799,1598,Bedsheet Set,,,"https://imagizer.imageshack.com/img922/8654/bKqO8w.jpg, https://imagizer.imageshack.com/img921/9762/6dLeU4.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,NAZAKAT PED 1,,Jaipuri Floral Printed 100% Pure Cotton Double Bedsheet With Two Pillow Cover (Coffee Brown),1,0,visible,"royal touch to your bedroom with this Rajasthani Jaipuri Sanganeri Bedsheet. Crafted from soft cotton, it features vibrant hand block prints inspired by Jaipur’s rich heritage. Comfortable, durable, and beautifully designed — this bedsheet comes with 2 matching pillow covers to complete the elegant look.
•	Includes: 1 Double Bedsheet + 2 Pillow Covers
•	Fabric: 100% Cotton
","Bring home the vibrant charm of Rajasthan with this beautifully handcrafted Rajasthani Jaipuri Bedsheet. Made with premium-quality cotton, this bedsheet showcases intricate Sanganeri block prints inspired by the royal heritage of Jaipur. Its soft and breathable fabric ensures maximum comfort, while the colorful motifs add a touch of traditional elegance to your bedroom décor.
This bedsheet is not just a bedding essential — it’s a piece of art that reflects India’s rich craftsmanship. Perfect for daily use or festive occasions, it effortlessly combines comfort, culture, and class.
Key Features:
•	Made from 100% soft and breathable cotton
•	Authentic Jaipuri Sanganeri hand block print design
•	Vibrant, long-lasting colors that won’t fade easily
•	Includes 1 double bedsheet and 2 matching pillow covers
•	Easy to wash and maintain",,,taxable,,1,1000,,0,0,,,,,1,,799,1598,Bedsheet Set,,,"https://imagizer.imageshack.com/img924/9486/ywVhKI.jpg, https://imagizer.imageshack.com/img923/9917/te9ysG.jpg, https://imagizer.imageshack.com/img923/1056/wK8r4r.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,NAZAKAT PED 2,,Jaipuri Floral Printed 100% Pure Cotton Double Bedsheet With Two Pillow Cover (Greenish),1,0,visible,"royal touch to your bedroom with this Rajasthani Jaipuri Sanganeri Bedsheet. Crafted from soft cotton, it features vibrant hand block prints inspired by Jaipur’s rich heritage. Comfortable, durable, and beautifully designed — this bedsheet comes with 2 matching pillow covers to complete the elegant look.
•	Includes: 1 Double Bedsheet + 2 Pillow Covers
•	Fabric: 100% Cotton
","Bring home the vibrant charm of Rajasthan with this beautifully handcrafted Rajasthani Jaipuri Bedsheet. Made with premium-quality cotton, this bedsheet showcases intricate Sanganeri block prints inspired by the royal heritage of Jaipur. Its soft and breathable fabric ensures maximum comfort, while the colorful motifs add a touch of traditional elegance to your bedroom décor.
This bedsheet is not just a bedding essential — it’s a piece of art that reflects India’s rich craftsmanship. Perfect for daily use or festive occasions, it effortlessly combines comfort, culture, and class.
Key Features:
•	Made from 100% soft and breathable cotton
•	Authentic Jaipuri Sanganeri hand block print design
•	Vibrant, long-lasting colors that won’t fade easily
•	Includes 1 double bedsheet and 2 matching pillow covers
•	Easy to wash and maintain",,,taxable,,1,1000,,0,0,,,,,1,,799,1598,Bedsheet Set,,,"https://imagizer.imageshack.com/img921/1385/laNPca.jpg, https://imagizer.imageshack.com/img922/9366/zDE453.jpg, https://imagizer.imageshack.com/img923/7231/hR4L84.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,NAZAKAT PED 3,,Jaipuri Floral Printed 100% Pure Cotton Double Bedsheet With Two Pillow Cover (Pink And White),1,0,visible,"royal touch to your bedroom with this Rajasthani Jaipuri Sanganeri Bedsheet. Crafted from soft cotton, it features vibrant hand block prints inspired by Jaipur’s rich heritage. Comfortable, durable, and beautifully designed — this bedsheet comes with 2 matching pillow covers to complete the elegant look.
•	Includes: 1 Double Bedsheet + 2 Pillow Covers
•	Fabric: 100% Cotton
","Bring home the vibrant charm of Rajasthan with this beautifully handcrafted Rajasthani Jaipuri Bedsheet. Made with premium-quality cotton, this bedsheet showcases intricate Sanganeri block prints inspired by the royal heritage of Jaipur. Its soft and breathable fabric ensures maximum comfort, while the colorful motifs add a touch of traditional elegance to your bedroom décor.
This bedsheet is not just a bedding essential — it’s a piece of art that reflects India’s rich craftsmanship. Perfect for daily use or festive occasions, it effortlessly combines comfort, culture, and class.
Key Features:
•	Made from 100% soft and breathable cotton
•	Authentic Jaipuri Sanganeri hand block print design
•	Vibrant, long-lasting colors that won’t fade easily
•	Includes 1 double bedsheet and 2 matching pillow covers
•	Easy to wash and maintain",,,taxable,,1,1000,,0,0,,,,,1,,799,1598,Bedsheet Set,,,"https://imagizer.imageshack.com/img922/4425/r4ILAs.jpg, https://imagizer.imageshack.com/img922/6453/hCKWul.jpg, https://imagizer.imageshack.com/img923/8268/ClrJCN.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,NAZAKAT PED HATHI,,Jaipuri Printed 100% Pure Cotton Double Bedsheet With Two Pillow Cover (Brown),1,0,visible,"royal touch to your bedroom with this Rajasthani Jaipuri Sanganeri Bedsheet. Crafted from soft cotton, it features vibrant hand block prints inspired by Jaipur’s rich heritage. Comfortable, durable, and beautifully designed — this bedsheet comes with 2 matching pillow covers to complete the elegant look.
•	Includes: 1 Double Bedsheet + 2 Pillow Covers
•	Fabric: 100% Cotton
","Bring home the vibrant charm of Rajasthan with this beautifully handcrafted Rajasthani Jaipuri Bedsheet. Made with premium-quality cotton, this bedsheet showcases intricate Sanganeri block prints inspired by the royal heritage of Jaipur. Its soft and breathable fabric ensures maximum comfort, while the colorful motifs add a touch of traditional elegance to your bedroom décor.
This bedsheet is not just a bedding essential — it’s a piece of art that reflects India’s rich craftsmanship. Perfect for daily use or festive occasions, it effortlessly combines comfort, culture, and class.
Key Features:
•	Made from 100% soft and breathable cotton
•	Authentic Jaipuri Sanganeri hand block print design
•	Vibrant, long-lasting colors that won’t fade easily
•	Includes 1 double bedsheet and 2 matching pillow covers
•	Easy to wash and maintain",,,taxable,,1,1000,,0,0,,,,,1,,799,1598,Bedsheet Set,,,"https://imagizer.imageshack.com/img923/9913/PMK5ch.jpg, https://imagizer.imageshack.com/img922/9601/j9d1SW.jpg, https://imagizer.imageshack.com/img922/3806/IN99oF.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,NAZAKAT PED HATHI 1,,Jaipuri Printed 100% Pure Cotton Double Bedsheet With Two Pillow Cover (Greenish),1,0,visible,"royal touch to your bedroom with this Rajasthani Jaipuri Sanganeri Bedsheet. Crafted from soft cotton, it features vibrant hand block prints inspired by Jaipur’s rich heritage. Comfortable, durable, and beautifully designed — this bedsheet comes with 2 matching pillow covers to complete the elegant look.
•	Includes: 1 Double Bedsheet + 2 Pillow Covers
•	Fabric: 100% Cotton
","Bring home the vibrant charm of Rajasthan with this beautifully handcrafted Rajasthani Jaipuri Bedsheet. Made with premium-quality cotton, this bedsheet showcases intricate Sanganeri block prints inspired by the royal heritage of Jaipur. Its soft and breathable fabric ensures maximum comfort, while the colorful motifs add a touch of traditional elegance to your bedroom décor.
This bedsheet is not just a bedding essential — it’s a piece of art that reflects India’s rich craftsmanship. Perfect for daily use or festive occasions, it effortlessly combines comfort, culture, and class.
Key Features:
•	Made from 100% soft and breathable cotton
•	Authentic Jaipuri Sanganeri hand block print design
•	Vibrant, long-lasting colors that won’t fade easily
•	Includes 1 double bedsheet and 2 matching pillow covers
•	Easy to wash and maintain",,,taxable,,1,1000,,0,0,,,,,1,,799,1598,Bedsheet Set,,,"https://imagizer.imageshack.com/img923/214/0gHP5w.jpg, https://imagizer.imageshack.com/img924/9524/PJRDrT.jpg, https://imagizer.imageshack.com/img922/4453/sO7S6K.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,NAZAKAT PED HATHI 2,,Jaipuri Printed 100% Pure Cotton Double Bedsheet With Two Pillow Cover (Pink),1,0,visible,"royal touch to your bedroom with this Rajasthani Jaipuri Sanganeri Bedsheet. Crafted from soft cotton, it features vibrant hand block prints inspired by Jaipur’s rich heritage. Comfortable, durable, and beautifully designed — this bedsheet comes with 2 matching pillow covers to complete the elegant look.
•	Includes: 1 Double Bedsheet + 2 Pillow Covers
•	Fabric: 100% Cotton
","Bring home the vibrant charm of Rajasthan with this beautifully handcrafted Rajasthani Jaipuri Bedsheet. Made with premium-quality cotton, this bedsheet showcases intricate Sanganeri block prints inspired by the royal heritage of Jaipur. Its soft and breathable fabric ensures maximum comfort, while the colorful motifs add a touch of traditional elegance to your bedroom décor.
This bedsheet is not just a bedding essential — it’s a piece of art that reflects India’s rich craftsmanship. Perfect for daily use or festive occasions, it effortlessly combines comfort, culture, and class.
Key Features:
•	Made from 100% soft and breathable cotton
•	Authentic Jaipuri Sanganeri hand block print design
•	Vibrant, long-lasting colors that won’t fade easily
•	Includes 1 double bedsheet and 2 matching pillow covers
•	Easy to wash and maintain",,,taxable,,1,1000,,0,0,,,,,1,,799,1598,Bedsheet Set,,,"https://imagizer.imageshack.com/img924/5586/5Qsq0f.jpg, https://imagizer.imageshack.com/img924/5351/FGEFkt.jpg, https://imagizer.imageshack.com/img924/5011/vuSZHv.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,NAZAKAT PED HATHI 3,,Jaipuri Printed 100% Pure Cotton Double Bedsheet With Two Pillow Cover (Blue),1,0,visible,"royal touch to your bedroom with this Rajasthani Jaipuri Sanganeri Bedsheet. Crafted from soft cotton, it features vibrant hand block prints inspired by Jaipur’s rich heritage. Comfortable, durable, and beautifully designed — this bedsheet comes with 2 matching pillow covers to complete the elegant look.
•	Includes: 1 Double Bedsheet + 2 Pillow Covers
•	Fabric: 100% Cotton
","Bring home the vibrant charm of Rajasthan with this beautifully handcrafted Rajasthani Jaipuri Bedsheet. Made with premium-quality cotton, this bedsheet showcases intricate Sanganeri block prints inspired by the royal heritage of Jaipur. Its soft and breathable fabric ensures maximum comfort, while the colorful motifs add a touch of traditional elegance to your bedroom décor.
This bedsheet is not just a bedding essential — it’s a piece of art that reflects India’s rich craftsmanship. Perfect for daily use or festive occasions, it effortlessly combines comfort, culture, and class.
Key Features:
•	Made from 100% soft and breathable cotton
•	Authentic Jaipuri Sanganeri hand block print design
•	Vibrant, long-lasting colors that won’t fade easily
•	Includes 1 double bedsheet and 2 matching pillow covers
•	Easy to wash and maintain",,,taxable,,1,1000,,0,0,,,,,1,,799,1598,Bedsheet Set,,,"https://imagizer.imageshack.com/img923/4444/2vjGYu.jpg, https://imagizer.imageshack.com/img924/1295/LePsQN.jpg, https://imagizer.imageshack.com/img922/6358/Av4EA7.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,NEW CARRY,,Jaipuri 100% Pure Cotton Double Bedsheet With A Mandala And Floral Block PrintedPattern And Two Pillow Cover (Blue),1,0,visible,"royal touch to your bedroom with this Rajasthani Jaipuri Sanganeri Bedsheet. Crafted from soft cotton, it features vibrant hand block prints inspired by Jaipur’s rich heritage. Comfortable, durable, and beautifully designed — this bedsheet comes with 2 matching pillow covers to complete the elegant look.
•	Includes: 1 Double Bedsheet + 2 Pillow Covers
•	Fabric: 100% Cotton
","Bring home the vibrant charm of Rajasthan with this beautifully handcrafted Rajasthani Jaipuri Bedsheet. Made with premium-quality cotton, this bedsheet showcases intricate Sanganeri block prints inspired by the royal heritage of Jaipur. Its soft and breathable fabric ensures maximum comfort, while the colorful motifs add a touch of traditional elegance to your bedroom décor.
This bedsheet is not just a bedding essential — it’s a piece of art that reflects India’s rich craftsmanship. Perfect for daily use or festive occasions, it effortlessly combines comfort, culture, and class.
Key Features:
•	Made from 100% soft and breathable cotton
•	Authentic Jaipuri Sanganeri hand block print design
•	Vibrant, long-lasting colors that won’t fade easily
•	Includes 1 double bedsheet and 2 matching pillow covers
•	Easy to wash and maintain",,,taxable,,1,1000,,0,0,,,,,1,,799,1598,Bedsheet Set,,,"https://imagizer.imageshack.com/img922/6782/VgoynU.jpg, https://imagizer.imageshack.com/img921/7060/DcT2Vt.jpg, https://imagizer.imageshack.com/img923/8253/JFwrWT.jpg, https://imagizer.imageshack.com/img921/5296/uOqqlK.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,NEW CARRY 1,,Jaipuri 100% Pure Cotton Double Bedsheet With A Mandala And Floral Block PrintedPattern And Two Pillow Cover (Pink),1,0,visible,"royal touch to your bedroom with this Rajasthani Jaipuri Sanganeri Bedsheet. Crafted from soft cotton, it features vibrant hand block prints inspired by Jaipur’s rich heritage. Comfortable, durable, and beautifully designed — this bedsheet comes with 2 matching pillow covers to complete the elegant look.
•	Includes: 1 Double Bedsheet + 2 Pillow Covers
•	Fabric: 100% Cotton
","Bring home the vibrant charm of Rajasthan with this beautifully handcrafted Rajasthani Jaipuri Bedsheet. Made with premium-quality cotton, this bedsheet showcases intricate Sanganeri block prints inspired by the royal heritage of Jaipur. Its soft and breathable fabric ensures maximum comfort, while the colorful motifs add a touch of traditional elegance to your bedroom décor.
This bedsheet is not just a bedding essential — it’s a piece of art that reflects India’s rich craftsmanship. Perfect for daily use or festive occasions, it effortlessly combines comfort, culture, and class.
Key Features:
•	Made from 100% soft and breathable cotton
•	Authentic Jaipuri Sanganeri hand block print design
•	Vibrant, long-lasting colors that won’t fade easily
•	Includes 1 double bedsheet and 2 matching pillow covers
•	Easy to wash and maintain",,,taxable,,1,1000,,0,0,,,,,1,,799,1598,Bedsheet Set,,,"https://imagizer.imageshack.com/img923/5727/2qfzw8.jpg, https://imagizer.imageshack.com/img921/5341/gcBcfy.jpg, https://imagizer.imageshack.com/img923/1682/BCASWO.jpg, https://imagizer.imageshack.com/img921/1425/X0ezaU.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
