ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wp_page_template,Meta: anarkali_loop_product_slider_speed,Meta: anarkali_showcase_type,Meta: anarkali_showcase_bg_type,Meta: anarkali_showcase_custom_bgcolor,Meta: anarkali_showcase_custom_textcolor,Meta: anarkali_badge_color,Meta: anarkali_product_extra_fatures,Meta: anarkali_custom_badge,Meta: anarkali_product_size_guide,Meta: anarkali_countdown_date,Meta: anarkali_countdown_text,Meta: anarkali_product_video_type,Meta: anarkali_product_video_source_type,Meta: anarkali_product_popup_video,Meta: anarkali_product_iframe_video,Meta: anarkali_product_video_preview,Meta: anarkali_product_video_on_shop,Meta: anarkali_tabs_title,Meta: anarkali_tabs_content,Meta: anarkali_product_header_type,Meta: anarkali_product_header_bgcolor,Meta: anarkali_product_header_menuitem_color,Meta: anarkali_product_header_menuitem_hvrcolor,Meta: anarkali_product_header_svgicon_color,Meta: anarkali_product_header_counter_bgcolor,Meta: anarkali_product_header_counter_color,Meta: anarkali_product_sticky_header_bgcolor,Meta: anarkali_product_sticky_header_menuitem_color,Meta: anarkali_product_sticky_header_menuitem_hvrcolor,Meta: anarkali_product_sticky_header_svgicon_color,Meta: anarkali_product_sticky_header_counter_bgcolor,Meta: anarkali_product_sticky_header_counter_color,Meta: _product_360_image_gallery
,variable,HC-41,,Women's Rayon Embroidery Straight Kurti With Pant Set,1,0,visible,"Women's Pure Cotton Printed Co-ord Set with a collared top and matching pants. Soft, breathable, and stylish—perfect for casual outings, travel, or relaxed weekends.","Women's Pure Cotton Printed Co-ord Set, featuring a smart collared top and matching pants. Crafted from soft, breathable cotton with trendy prints, this coordinated outfit blends comfort with style — perfect for casual outings, travel, or laid-back weekends. The collared design adds a touch of structure, making it ideal for both lounge and on-the-go looks.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Dress,,,"https://imagizer.imageshack.com/img922/6109/UlfWDi.jpg, https://imagizer.imageshack.com/img922/6418/BF1xqx.jpg, https://imagizer.imageshack.com/img923/3909/P3Muyw.jpg, https://imagizer.imageshack.com/img922/3432/raqfc9.jpg, https://imagizer.imageshack.com/img924/2769/Z83rbw.jpg, https://imagizer.imageshack.com/img924/7627/jhirYn.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-60-BLUE,,Women's Cotton Embroidery Straight Kurti With Pant Set,1,0,visible,"Women's Pure Cotton Printed Co-ord Set with a collared top and matching pants. Soft, breathable, and stylish—perfect for casual outings, travel, or relaxed weekends.","Women's Pure Cotton Printed Co-ord Set, featuring a smart collared top and matching pants. Crafted from soft, breathable cotton with trendy prints, this coordinated outfit blends comfort with style — perfect for casual outings, travel, or laid-back weekends. The collared design adds a touch of structure, making it ideal for both lounge and on-the-go looks.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Dress,,,"https://imagizer.imageshack.com/img923/5536/6V1We3.jpg, https://imagizer.imageshack.com/img922/1869/EGEQVC.jpg, https://imagizer.imageshack.com/img923/2967/8Qcpkr.jpg, https://imagizer.imageshack.com/img924/9209/U9dhaM.jpg, https://imagizer.imageshack.com/img923/37/P2QZ9A.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-60-YELLOW,,Women's Cotton Embroidery Straight Kurti With Pant Set,1,0,visible,"Women's Pure Cotton Printed Co-ord Set with a collared top and matching pants. Soft, breathable, and stylish—perfect for casual outings, travel, or relaxed weekends.","Women's Pure Cotton Printed Co-ord Set, featuring a smart collared top and matching pants. Crafted from soft, breathable cotton with trendy prints, this coordinated outfit blends comfort with style — perfect for casual outings, travel, or laid-back weekends. The collared design adds a touch of structure, making it ideal for both lounge and on-the-go looks.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Dress,,,"https://imagizer.imageshack.com/img923/6625/vNHJTm.jpg, https://imagizer.imageshack.com/img922/4281/jiGDIC.jpg, https://imagizer.imageshack.com/img924/3374/27SsFY.jpg, https://imagizer.imageshack.com/img924/4832/vAKNr1.jpg, https://imagizer.imageshack.com/img923/474/OlW3lF.jpg, https://imagizer.imageshack.com/img923/6671/57CHC3.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-60-RUST-RED,,Women's Cotton Embroidery Straight Kurti With Pant Set,1,0,visible,"Women's Pure Cotton Printed Co-ord Set with a collared top and matching pants. Soft, breathable, and stylish—perfect for casual outings, travel, or relaxed weekends.","Women's Pure Cotton Printed Co-ord Set, featuring a smart collared top and matching pants. Crafted from soft, breathable cotton with trendy prints, this coordinated outfit blends comfort with style — perfect for casual outings, travel, or laid-back weekends. The collared design adds a touch of structure, making it ideal for both lounge and on-the-go looks.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Dress,,,"https://imagizer.imageshack.com/img922/9615/gquGkq.jpg, https://imagizer.imageshack.com/img923/1599/KBrkwJ.jpg, https://imagizer.imageshack.com/img924/6421/InY3Lb.jpg, https://imagizer.imageshack.com/img922/6873/DgI02J.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-61-BLUE,,Women's Cotton Embroidery Straight Kurti With Pant Set,1,0,visible,"Women's Pure Cotton Printed Co-ord Set with a collared top and matching pants. Soft, breathable, and stylish—perfect for casual outings, travel, or relaxed weekends.","Women's Pure Cotton Printed Co-ord Set, featuring a smart collared top and matching pants. Crafted from soft, breathable cotton with trendy prints, this coordinated outfit blends comfort with style — perfect for casual outings, travel, or laid-back weekends. The collared design adds a touch of structure, making it ideal for both lounge and on-the-go looks.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Dress,,,"https://imagizer.imageshack.com/img922/7448/47UO6o.jpg, https://imagizer.imageshack.com/img924/3416/czL2MK.jpg, https://imagizer.imageshack.com/img924/8466/SwDGk0.jpg, https://imagizer.imageshack.com/img924/5908/dcRvxP.jpg, https://imagizer.imageshack.com/img923/3661/g8QmQl.jpg, https://imagizer.imageshack.com/img922/8848/pBJuuW.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-61-WHITE,,Women's Cotton Embroidery Straight Kurti With Pant Set,1,0,visible,"Women's Pure Cotton Printed Co-ord Set with a collared top and matching pants. Soft, breathable, and stylish—perfect for casual outings, travel, or relaxed weekends.","Women's Pure Cotton Printed Co-ord Set, featuring a smart collared top and matching pants. Crafted from soft, breathable cotton with trendy prints, this coordinated outfit blends comfort with style — perfect for casual outings, travel, or laid-back weekends. The collared design adds a touch of structure, making it ideal for both lounge and on-the-go looks.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Dress,,,"https://imagizer.imageshack.com/img922/5861/7G8yAt.jpg, https://imagizer.imageshack.com/img922/383/g1SJJg.jpg, https://imagizer.imageshack.com/img923/1662/mq9NZP.jpg, https://imagizer.imageshack.com/img924/8901/xYCZYz.jpg, https://imagizer.imageshack.com/img923/2986/8SFnTR.jpg, https://imagizer.imageshack.com/img923/5815/6PJbe0.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-61-MAROON ,,Women's Cotton Embroidery Straight Kurti With Pant Set,1,0,visible,"Women's Pure Cotton Printed Co-ord Set with a collared top and matching pants. Soft, breathable, and stylish—perfect for casual outings, travel, or relaxed weekends.","Women's Pure Cotton Printed Co-ord Set, featuring a smart collared top and matching pants. Crafted from soft, breathable cotton with trendy prints, this coordinated outfit blends comfort with style — perfect for casual outings, travel, or laid-back weekends. The collared design adds a touch of structure, making it ideal for both lounge and on-the-go looks.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Dress,,,"https://imagizer.imageshack.com/img923/7740/DzGSjP.jpg, https://imagizer.imageshack.com/img922/9682/poRQXU.jpg, https://imagizer.imageshack.com/img924/5457/bV2mfs.jpg, https://imagizer.imageshack.com/img923/9537/ktR5TF.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-66-PINK,,Women's Cotton Plain Straight Short Kurti With Pant Set,1,0,visible,"Women's Pure Cotton Printed Co-ord Set with a collared top and matching pants. Soft, breathable, and stylish—perfect for casual outings, travel, or relaxed weekends.","Women's Pure Cotton Printed Co-ord Set, featuring a smart collared top and matching pants. Crafted from soft, breathable cotton with trendy prints, this coordinated outfit blends comfort with style — perfect for casual outings, travel, or laid-back weekends. The collared design adds a touch of structure, making it ideal for both lounge and on-the-go looks.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Dress,,,"https://imagizer.imageshack.com/img924/2906/PYtocs.jpg, https://imagizer.imageshack.com/img924/3139/gdUWkp.jpg, https://imagizer.imageshack.com/img922/9347/zEbAN7.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-66-BLACK,,Women's Cotton Plain Straight Short Kurti With Pant Set,1,0,visible,"Women's Pure Cotton Printed Co-ord Set with a collared top and matching pants. Soft, breathable, and stylish—perfect for casual outings, travel, or relaxed weekends.","Women's Pure Cotton Printed Co-ord Set, featuring a smart collared top and matching pants. Crafted from soft, breathable cotton with trendy prints, this coordinated outfit blends comfort with style — perfect for casual outings, travel, or laid-back weekends. The collared design adds a touch of structure, making it ideal for both lounge and on-the-go looks.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Dress,,,"https://imagizer.imageshack.com/img922/9030/w25AJo.jpg, https://imagizer.imageshack.com/img922/5227/W4Y77e.jpg, https://imagizer.imageshack.com/img923/7484/TNOcJF.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,HC-68-WHITE-GREEN,,Women's Cotton Floral Printed Straight Short Kurti With Pant Set,1,0,visible,"Women's Pure Cotton Printed Co-ord Set with a collared top and matching pants. Soft, breathable, and stylish—perfect for casual outings, travel, or relaxed weekends.","Women's Pure Cotton Printed Co-ord Set, featuring a smart collared top and matching pants. Crafted from soft, breathable cotton with trendy prints, this coordinated outfit blends comfort with style — perfect for casual outings, travel, or laid-back weekends. The collared design adds a touch of structure, making it ideal for both lounge and on-the-go looks.",,,taxable,,1,,,0,0,,,,,1,,,,Women's Dress,,,"https://imagizer.imageshack.com/img924/7503/ssP7aO.jpg, https://imagizer.imageshack.com/img922/6396/K1Ft0T.jpg, https://imagizer.imageshack.com/img922/7942/DuxcE1.jpg, https://imagizer.imageshack.com/img923/5863/9yHGou.jpg, https://imagizer.imageshack.com/img923/5476/oXWVJe.jpg",,,,,,,,,0,"{""size"":{""name"":""size"",""type"":""button"",""terms"":{""L"":{""name"":""L"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""M"":{""name"":""M"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XL"":{""name"":""XL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""XXL"":{""name"":""XXL"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",,size,"M, L, XL, XXL",1,1,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
